Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Республика Дагестан, все устройства
декабрь 2017;638;0,00136;
январь 2018;399;0,00087;
февраль 2018;409;0,00083;
март 2018;245;0,00057;
апрель 2018;333;0,00077;
май 2018;298;0,00074;
июнь 2018;276;0,00067;
июль 2018;276;0,00068;
август 2018;414;0,00092;
сентябрь 2018;475;0,00094;
октябрь 2018;441;0,00091;
ноябрь 2018;423;0,00082;
декабрь 2018;510;0,00094;
январь 2019;431;0,00085;
февраль 2019;461;0,00088;
март 2019;392;0,00079;
апрель 2019;355;0,00075;
май 2019;335;0,00081;
июнь 2019;314;0,00075;
июль 2019;292;0,00071;
август 2019;455;0,00099;
сентябрь 2019;412;0,00082;
октябрь 2019;458;0,00088;
ноябрь 2019;410;0,00071;
декабрь 2019;531;0,00086;
январь 2020;511;0,00088;
февраль 2020;478;0,00078;
март 2020;1 497;0,00178;
апрель 2020;1 103;0,00149;
май 2020;1 153;0,00201;
июнь 2020;1 155;0,00227;
июль 2020;747;0,00149;
август 2020;944;0,00168;
сентябрь 2020;760;0,00114;
октябрь 2020;743;0,00106;
ноябрь 2020;805;0,00122;
декабрь 2020;785;0,00123;
январь 2021;735;0,00124;
февраль 2021;781;0,00125;
март 2021;807;0,00131;
апрель 2021;753;0,00125;
май 2021;560;0,00096;
июнь 2021;593;0,00105;
июль 2021;654;0,00114;
август 2021;715;0,00111;
сентябрь 2021;838;0,00117;
октябрь 2021;708;0,00099;
ноябрь 2021;848;0,00111;
декабрь 2021;1 015;0,00129;
январь 2022;877;0,00117;
февраль 2022;859;0,00104;
март 2022;738;0,00098;
апрель 2022;670;0,00091;
май 2022;554;0,00082;
июнь 2022;763;0,00113;
июль 2022;744;0,00108;
август 2022;518;0,00069;
сентябрь 2022;732;0,00090;
октябрь 2022;717;0,00089;
ноябрь 2022;693;0,00083;
декабрь 2022;554;0,00068;
январь 2023;534;0,00070;
февраль 2023;616;0,00079;
март 2023;445;0,00059;
апрель 2023;465;0,00062;
май 2023;428;0,00065;
июнь 2023;429;0,00063;
июль 2023;442;0,00064;
август 2023;591;0,00082;
сентябрь 2023;630;0,00081;
октябрь 2023;559;0,00072;
ноябрь 2023;861;0,00106;
декабрь 2023;951;0,00116;
январь 2024;533;0,00071;
февраль 2024;597;0,00079;
март 2024;561;0,00085;
апрель 2024;636;0,00092;
май 2024;433;0,00071;
июнь 2024;351;0,00055;
июль 2024;394;0,00057;
август 2024;459;0,00069;
сентябрь 2024;866;0,00118;
октябрь 2024;829;0,00098;
ноябрь 2024;675;0,00082;
декабрь 2024;828;0,00105;
