Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Чеченская Республика, все устройства
декабрь 2017;214;0,00189;
январь 2018;76;0,00069;
февраль 2018;142;0,00120;
март 2018;90;0,00086;
апрель 2018;125;0,00123;
май 2018;75;0,00076;
июнь 2018;151;0,00147;
июль 2018;119;0,00119;
август 2018;164;0,00150;
сентябрь 2018;172;0,00139;
октябрь 2018;224;0,00186;
ноябрь 2018;166;0,00128;
декабрь 2018;193;0,00140;
январь 2019;158;0,00123;
февраль 2019;130;0,00097;
март 2019;136;0,00108;
апрель 2019;150;0,00126;
май 2019;95;0,00087;
июнь 2019;110;0,00101;
июль 2019;83;0,00075;
август 2019;113;0,00097;
сентябрь 2019;102;0,00078;
октябрь 2019;110;0,00080;
ноябрь 2019;139;0,00088;
декабрь 2019;229;0,00140;
январь 2020;188;0,00121;
февраль 2020;317;0,00173;
март 2020;351;0,00161;
апрель 2020;305;0,00170;
май 2020;558;0,00352;
июнь 2020;428;0,00309;
июль 2020;299;0,00218;
август 2020;177;0,00118;
сентябрь 2020;256;0,00142;
октябрь 2020;188;0,00095;
ноябрь 2020;285;0,00164;
декабрь 2020;288;0,00169;
январь 2021;360;0,00229;
февраль 2021;260;0,00159;
март 2021;350;0,00216;
апрель 2021;199;0,00122;
май 2021;423;0,00255;
июнь 2021;149;0,00098;
июль 2021;220;0,00145;
август 2021;177;0,00103;
сентябрь 2021;215;0,00110;
октябрь 2021;255;0,00126;
ноябрь 2021;248;0,00113;
декабрь 2021;302;0,00134;
январь 2022;235;0,00111;
февраль 2022;227;0,00097;
март 2022;259;0,00126;
апрель 2022;233;0,00111;
май 2022;240;0,00128;
июнь 2022;208;0,00114;
июль 2022;208;0,00114;
август 2022;221;0,00111;
сентябрь 2022;278;0,00125;
октябрь 2022;304;0,00131;
ноябрь 2022;267;0,00108;
декабрь 2022;245;0,00081;
январь 2023;314;0,00119;
февраль 2023;261;0,00104;
март 2023;226;0,00099;
апрель 2023;361;0,00157;
май 2023;113;0,00061;
июнь 2023;95;0,00052;
июль 2023;105;0,00057;
август 2023;116;0,00058;
сентябрь 2023;165;0,00075;
октябрь 2023;232;0,00102;
ноябрь 2023;211;0,00086;
декабрь 2023;293;0,00123;
январь 2024;184;0,00085;
февраль 2024;149;0,00071;
март 2024;110;0,00060;
апрель 2024;201;0,00102;
май 2024;122;0,00072;
июнь 2024;119;0,00071;
июль 2024;73;0,00044;
август 2024;113;0,00064;
сентябрь 2024;177;0,00089;
октябрь 2024;228;0,00107;
ноябрь 2024;196;0,00081;
декабрь 2024;225;0,00096;
