Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Kirov Oblast, all devices
December 2017;406 618;0,81;
January 2018;380 626;0,77;
February 2018;400 616;0,75;
March 2018;385 729;0,76;
April 2018;390 955;0,78;
May 2018;311 376;0,66;
June 2018;289 344;0,63;
July 2018;290 179;0,64;
August 2018;388 937;0,72;
September 2018;467 069;0,77;
October 2018;414 811;0,76;
November 2018;419 027;0,77;
December 2018;437 678;0,80;
January 2019;406 892;0,78;
February 2019;429 985;0,77;
March 2019;421 274;0,79;
April 2019;400 375;0,81;
May 2019;310 525;0,68;
June 2019;297 083;0,64;
July 2019;299 979;0,63;
August 2019;396 356;0,75;
September 2019;470 709;0,79;
October 2019;455 800;0,77;
November 2019;461 953;0,79;
December 2019;507 460;0,84;
January 2020;465 533;0,79;
February 2020;487 038;0,75;
March 2020;646 562;0,77;
April 2020;663 662;0,84;
May 2020;454 943;0,75;
June 2020;352 759;0,66;
July 2020;328 939;0,62;
August 2020;437 589;0,72;
September 2020;511 194;0,73;
October 2020;603 445;0,82;
November 2020;562 405;0,79;
December 2020;574 736;0,84;
January 2021;543 375;0,83;
February 2021;564 381;0,80;
March 2021;599 993;0,83;
April 2021;587 935;0,83;
May 2021;465 252;0,70;
June 2021;375 363;0,60;
July 2021;389 238;0,61;
August 2021;524 818;0,72;
September 2021;604 291;0,76;
October 2021;626 125;0,78;
November 2021;665 320;0,80;
December 2021;671 209;0,82;
January 2022;595 924;0,75;
February 2022;666 842;0,76;
March 2022;627 836;0,75;
April 2022;645 429;0,78;
May 2022;473 530;0,65;
June 2022;422 836;0,60;
July 2022;429 971;0,58;
August 2022;509 357;0,61;
September 2022;597 664;0,67;
October 2022;593 468;0,70;
November 2022;584 155;0,69;
December 2022;576 341;0,68;
January 2023;522 400;0,67;
February 2023;584 648;0,67;
March 2023;540 573;0,67;
April 2023;573 812;0,73;
May 2023;421 085;0,59;
June 2023;375 391;0,53;
July 2023;386 184;0,56;
August 2023;486 507;0,65;
September 2023;587 879;0,71;
October 2023;565 489;0,69;
November 2023;575 832;0,69;
December 2023;566 121;0,68;
January 2024;526 080;0,68;
February 2024;517 527;0,65;
March 2024;530 585;0,69;
April 2024;537 846;0,72;
May 2024;375 212;0,59;
June 2024;351 670;0,56;
July 2024;331 084;0,53;
August 2024;442 713;0,65;
September 2024;551 892;0,71;
October 2024;560 933;0,70;
November 2024;591 586;0,74;
