Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Nizhny Novgorod Oblast', all devices
December 2017;1 887 795;0,79;
January 2018;1 775 043;0,74;
February 2018;1 808 010;0,75;
March 2018;1 581 703;0,75;
April 2018;1 527 578;0,77;
May 2018;1 107 832;0,61;
June 2018;1 009 627;0,57;
July 2018;1 116 735;0,59;
August 2018;1 510 873;0,69;
September 2018;1 983 859;0,75;
October 2018;1 673 146;0,74;
November 2018;1 712 868;0,74;
December 2018;1 980 811;0,77;
January 2019;1 869 528;0,77;
February 2019;1 944 666;0,75;
March 2019;1 885 349;0,78;
April 2019;1 828 827;0,79;
May 2019;1 348 336;0,66;
June 2019;1 232 740;0,59;
July 2019;1 186 716;0,59;
August 2019;1 508 448;0,70;
September 2019;1 864 880;0,76;
October 2019;1 876 658;0,74;
November 2019;2 052 174;0,75;
December 2019;2 008 293;0,75;
January 2020;1 876 459;0,73;
February 2020;1 900 424;0,70;
March 2020;2 588 121;0,76;
April 2020;2 145 851;0,74;
May 2020;1 676 944;0,67;
June 2020;1 548 498;0,59;
July 2020;1 472 357;0,57;
August 2020;1 816 450;0,67;
September 2020;2 000 452;0,68;
October 2020;2 296 700;0,70;
November 2020;2 366 647;0,74;
December 2020;2 160 877;0,76;
January 2021;2 129 586;0,79;
February 2021;2 219 967;0,75;
March 2021;2 297 382;0,79;
April 2021;2 077 544;0,75;
May 2021;1 769 905;0,66;
June 2021;1 586 274;0,58;
July 2021;1 463 455;0,54;
August 2021;1 883 782;0,65;
September 2021;2 181 023;0,71;
October 2021;2 244 865;0,73;
November 2021;2 343 740;0,75;
December 2021;2 266 661;0,73;
January 2022;2 262 282;0,73;
February 2022;2 474 246;0,74;
March 2022;2 422 379;0,76;
April 2022;2 271 220;0,69;
May 2022;1 708 307;0,59;
June 2022;1 490 340;0,52;
July 2022;1 516 736;0,52;
August 2022;1 895 626;0,58;
September 2022;2 177 642;0,62;
October 2022;2 179 039;0,62;
November 2022;2 139 254;0,62;
December 2022;2 022 945;0,59;
January 2023;1 889 312;0,59;
February 2023;2 083 638;0,60;
March 2023;1 886 656;0,59;
April 2023;1 874 019;0,60;
May 2023;1 365 190;0,50;
June 2023;1 205 763;0,43;
July 2023;1 213 700;0,45;
August 2023;1 585 170;0,56;
September 2023;1 961 923;0,61;
October 2023;1 862 059;0,60;
November 2023;1 904 326;0,61;
December 2023;1 839 204;0,57;
January 2024;1 771 557;0,59;
February 2024;1 703 361;0,57;
March 2024;1 762 708;0,62;
April 2024;1 647 367;0,60;
May 2024;1 197 276;0,51;
June 2024;1 112 811;0,48;
July 2024;1 067 143;0,45;
August 2024;1 480 159;0,58;
September 2024;1 848 979;0,63;
October 2024;1 868 859;0,63;
November 2024;2 017 434;0,66;
