Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Moscow and Moscow Oblast, except Moscow, all devices
December 2017;3 735 871;0,85;
January 2018;3 433 368;0,80;
February 2018;3 821 624;0,79;
March 2018;3 330 569;0,78;
April 2018;3 198 617;0,76;
May 2018;2 795 202;0,70;
June 2018;2 811 337;0,68;
July 2018;2 882 715;0,70;
August 2018;3 550 895;0,76;
September 2018;4 340 679;0,80;
October 2018;3 927 357;0,78;
November 2018;3 728 901;0,74;
December 2018;4 391 567;0,83;
January 2019;4 213 826;0,82;
February 2019;4 438 586;0,80;
March 2019;4 055 955;0,80;
April 2019;3 810 240;0,79;
May 2019;3 328 845;0,73;
June 2019;3 204 380;0,69;
July 2019;3 115 053;0,68;
August 2019;3 729 153;0,76;
September 2019;4 361 738;0,80;
October 2019;4 231 698;0,77;
November 2019;4 308 599;0,76;
December 2019;4 897 278;0,85;
January 2020;4 471 808;0,80;
February 2020;4 752 993;0,75;
March 2020;6 031 784;0,77;
April 2020;5 829 025;0,78;
May 2020;4 733 890;0,80;
June 2020;3 914 622;0,72;
July 2020;3 593 796;0,67;
August 2020;4 316 489;0,73;
September 2020;4 835 053;0,72;
October 2020;4 994 545;0,71;
November 2020;4 907 379;0,72;
December 2020;5 088 311;0,79;
January 2021;4 826 990;0,80;
February 2021;5 192 401;0,78;
March 2021;5 546 654;0,78;
April 2021;5 860 224;0,75;
May 2021;5 062 847;0,67;
June 2021;3 826 149;0,61;
July 2021;3 898 855;0,60;
August 2021;5 460 536;0,69;
September 2021;6 053 346;0,72;
October 2021;6 432 181;0,73;
November 2021;6 361 588;0,72;
December 2021;6 858 220;0,75;
January 2022;6 302 577;0,72;
February 2022;7 437 600;0,76;
March 2022;6 602 647;0,72;
April 2022;6 366 247;0,70;
May 2022;5 193 745;0,63;
June 2022;4 762 281;0,58;
July 2022;4 733 844;0,57;
August 2022;5 446 388;0,59;
September 2022;5 688 619;0,60;
October 2022;5 728 625;0,61;
November 2022;5 500 659;0,59;
December 2022;5 698 135;0,61;
January 2023;4 926 182;0,58;
February 2023;5 705 633;0,61;
March 2023;4 740 960;0,57;
April 2023;4 972 097;0,59;
May 2023;3 972 578;0,51;
June 2023;3 704 722;0,47;
July 2023;3 706 035;0,48;
August 2023;4 311 153;0,54;
September 2023;4 925 980;0,57;
October 2023;4 815 825;0,57;
November 2023;4 757 269;0,56;
December 2023;5 150 297;0,58;
January 2024;4 619 838;0,56;
February 2024;4 859 536;0,56;
March 2024;4 508 355;0,56;
April 2024;4 530 622;0,57;
May 2024;3 643 726;0,50;
June 2024;3 493 536;0,48;
July 2024;3 360 112;0,46;
August 2024;4 148 756;0,55;
September 2024;4 732 072;0,57;
October 2024;4 810 124;0,57;
November 2024;5 217 188;0,60;
