Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Amur Oblast, all devices
December 2017;146 672;0,74;
January 2018;142 954;0,73;
February 2018;149 703;0,73;
March 2018;139 641;0,74;
April 2018;139 640;0,75;
May 2018;103 634;0,58;
June 2018;94 019;0,53;
July 2018;91 692;0,52;
August 2018;130 887;0,66;
September 2018;175 524;0,75;
October 2018;162 043;0,72;
November 2018;153 434;0,70;
December 2018;158 710;0,72;
January 2019;159 272;0,74;
February 2019;169 087;0,75;
March 2019;165 951;0,77;
April 2019;142 862;0,74;
May 2019;102 045;0,60;
June 2019;94 420;0,53;
July 2019;93 055;0,54;
August 2019;139 207;0,71;
September 2019;178 593;0,76;
October 2019;175 053;0,73;
November 2019;192 920;0,74;
December 2019;202 214;0,74;
January 2020;203 799;0,78;
February 2020;217 355;0,74;
March 2020;281 911;0,79;
April 2020;285 376;0,84;
May 2020;182 696;0,68;
June 2020;141 407;0,58;
July 2020;136 643;0,56;
August 2020;218 830;0,76;
September 2020;266 066;0,78;
October 2020;275 773;0,75;
November 2020;281 027;0,81;
December 2020;259 810;0,77;
January 2021;271 594;0,86;
February 2021;268 135;0,80;
March 2021;281 344;0,84;
April 2021;254 703;0,78;
May 2021;198 510;0,66;
June 2021;165 883;0,56;
July 2021;153 927;0,54;
August 2021;233 210;0,73;
September 2021;264 185;0,76;
October 2021;279 423;0,78;
November 2021;295 874;0,79;
December 2021;270 673;0,74;
January 2022;277 244;0,78;
February 2022;302 018;0,77;
March 2022;300 665;0,80;
April 2022;275 110;0,75;
May 2022;201 012;0,62;
June 2022;164 922;0,53;
July 2022;160 996;0,51;
August 2022;229 119;0,64;
September 2022;271 740;0,70;
October 2022;299 306;0,72;
November 2022;271 996;0,67;
December 2022;253 831;0,62;
January 2023;246 124;0,65;
February 2023;278 619;0,68;
March 2023;262 272;0,67;
April 2023;257 470;0,69;
May 2023;174 700;0,53;
June 2023;148 697;0,47;
July 2023;152 517;0,48;
August 2023;217 617;0,64;
September 2023;268 211;0,71;
October 2023;257 739;0,68;
November 2023;259 797;0,67;
December 2023;250 479;0,66;
January 2024;243 970;0,68;
February 2024;242 720;0,65;
March 2024;250 193;0,71;
April 2024;227 740;0,69;
May 2024;161 760;0,56;
June 2024;148 512;0,52;
July 2024;137 878;0,49;
August 2024;205 583;0,67;
September 2024;258 433;0,73;
October 2024;254 969;0,70;
November 2024;281 933;0,73;
