Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Jewish Autonomous Oblast, all devices
December 2017;22 247;0,83;
January 2018;20 398;0,77;
February 2018;23 204;0,80;
March 2018;22 282;0,81;
April 2018;21 200;0,79;
May 2018;17 317;0,67;
June 2018;15 675;0,58;
July 2018;16 927;0,66;
August 2018;20 323;0,72;
September 2018;26 849;0,83;
October 2018;23 966;0,76;
November 2018;24 992;0,78;
December 2018;26 009;0,79;
January 2019;27 662;0,83;
February 2019;28 296;0,79;
March 2019;27 941;0,84;
April 2019;23 325;0,77;
May 2019;19 025;0,66;
June 2019;18 650;0,65;
July 2019;17 402;0,61;
August 2019;22 963;0,75;
September 2019;29 206;0,81;
October 2019;30 767;0,83;
November 2019;33 846;0,83;
December 2019;36 778;0,87;
January 2020;34 817;0,86;
February 2020;36 935;0,84;
March 2020;49 367;0,84;
April 2020;43 511;0,83;
May 2020;32 872;0,74;
June 2020;26 180;0,65;
July 2020;24 353;0,62;
August 2020;32 087;0,76;
September 2020;38 855;0,78;
October 2020;42 462;0,78;
November 2020;40 726;0,83;
December 2020;42 197;0,87;
January 2021;43 520;0,93;
February 2021;44 029;0,90;
March 2021;49 350;0,90;
April 2021;43 354;0,76;
May 2021;37 364;0,70;
June 2021;29 200;0,63;
July 2021;28 415;0,64;
August 2021;42 468;0,79;
September 2021;50 053;0,83;
October 2021;53 018;0,84;
November 2021;56 928;0,85;
December 2021;55 804;0,82;
January 2022;52 545;0,81;
February 2022;58 920;0,81;
March 2022;60 477;0,83;
April 2022;50 563;0,75;
May 2022;41 781;0,67;
June 2022;35 799;0,58;
July 2022;33 426;0,56;
August 2022;46 013;0,69;
September 2022;52 099;0,74;
October 2022;58 697;0,76;
November 2022;53 175;0,71;
December 2022;52 911;0,68;
January 2023;48 774;0,70;
February 2023;53 585;0,72;
March 2023;51 265;0,70;
April 2023;45 823;0,68;
May 2023;36 784;0,60;
June 2023;32 151;0,53;
July 2023;32 393;0,54;
August 2023;40 523;0,66;
September 2023;49 546;0,74;
October 2023;48 698;0,71;
November 2023;50 958;0,72;
December 2023;50 502;0,72;
January 2024;47 767;0,72;
February 2024;45 224;0,68;
March 2024;47 593;0,74;
April 2024;41 441;0,68;
May 2024;32 858;0,60;
June 2024;30 134;0,57;
July 2024;28 536;0,55;
August 2024;37 615;0,68;
September 2024;46 842;0,74;
October 2024;47 716;0,73;
November 2024;51 024;0,74;
