Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Republic of Buryatia, all devices
December 2017;175 562;0,69;
January 2018;168 411;0,68;
February 2018;181 177;0,69;
March 2018;165 964;0,69;
April 2018;179 550;0,74;
May 2018;129 998;0,60;
June 2018;103 522;0,46;
July 2018;102 177;0,46;
August 2018;159 242;0,63;
September 2018;218 854;0,74;
October 2018;194 460;0,71;
November 2018;189 400;0,69;
December 2018;182 652;0,66;
January 2019;186 287;0,69;
February 2019;200 221;0,71;
March 2019;192 355;0,71;
April 2019;187 410;0,74;
May 2019;137 776;0,61;
June 2019;104 878;0,49;
July 2019;101 311;0,47;
August 2019;150 827;0,64;
September 2019;211 073;0,76;
October 2019;191 134;0,69;
November 2019;227 711;0,75;
December 2019;217 145;0,70;
January 2020;202 045;0,67;
February 2020;228 264;0,70;
March 2020;348 686;0,76;
April 2020;273 746;0,73;
May 2020;199 603;0,67;
June 2020;144 188;0,54;
July 2020;137 431;0,51;
August 2020;215 069;0,69;
September 2020;301 714;0,72;
October 2020;275 846;0,65;
November 2020;300 383;0,77;
December 2020;261 198;0,72;
January 2021;248 965;0,76;
February 2021;278 649;0,78;
March 2021;295 465;0,78;
April 2021;311 785;0,79;
May 2021;239 795;0,65;
June 2021;153 626;0,48;
July 2021;152 405;0,49;
August 2021;263 940;0,70;
September 2021;335 661;0,78;
October 2021;325 156;0,74;
November 2021;377 083;0,78;
December 2021;331 464;0,71;
January 2022;340 179;0,72;
February 2022;370 820;0,76;
March 2022;335 995;0,72;
April 2022;342 269;0,77;
May 2022;233 542;0,59;
June 2022;179 779;0,47;
July 2022;182 849;0,48;
August 2022;273 994;0,62;
September 2022;340 179;0,70;
October 2022;337 386;0,67;
November 2022;349 190;0,68;
December 2022;304 289;0,60;
January 2023;284 853;0,62;
February 2023;335 901;0,67;
March 2023;307 152;0,63;
April 2023;328 119;0,71;
May 2023;207 259;0,53;
June 2023;165 945;0,43;
July 2023;167 712;0,43;
August 2023;263 265;0,61;
September 2023;337 016;0,70;
October 2023;308 447;0,65;
November 2023;334 956;0,66;
December 2023;303 805;0,62;
January 2024;292 620;0,63;
February 2024;298 228;0,64;
March 2024;298 359;0,67;
April 2024;295 143;0,71;
May 2024;197 589;0,55;
June 2024;155 617;0,44;
July 2024;149 151;0,42;
August 2024;237 134;0,61;
September 2024;324 038;0,72;
October 2024;311 584;0,67;
November 2024;361 672;0,73;
