Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Kaluga Oblast, all devices
December 2017;386 727;0,81;
January 2018;370 116;0,80;
February 2018;407 595;0,79;
March 2018;357 806;0,79;
April 2018;351 062;0,80;
May 2018;294 256;0,69;
June 2018;286 070;0,65;
July 2018;294 039;0,67;
August 2018;372 623;0,76;
September 2018;445 142;0,79;
October 2018;392 934;0,77;
November 2018;382 348;0,75;
December 2018;427 951;0,80;
January 2019;410 019;0,81;
February 2019;422 590;0,78;
March 2019;388 105;0,78;
April 2019;374 580;0,78;
May 2019;308 440;0,70;
June 2019;297 620;0,66;
July 2019;296 823;0,65;
August 2019;366 318;0,76;
September 2019;434 973;0,80;
October 2019;418 402;0,76;
November 2019;443 856;0,78;
December 2019;489 062;0,83;
January 2020;444 516;0,79;
February 2020;451 956;0,73;
March 2020;582 880;0,74;
April 2020;545 240;0,75;
May 2020;450 856;0,75;
June 2020;384 461;0,69;
July 2020;365 965;0,67;
August 2020;439 955;0,75;
September 2020;507 489;0,75;
October 2020;494 217;0,72;
November 2020;507 271;0,76;
December 2020;541 267;0,82;
January 2021;531 072;0,84;
February 2021;588 527;0,83;
March 2021;604 521;0,84;
April 2021;582 182;0,80;
May 2021;505 375;0,72;
June 2021;441 402;0,67;
July 2021;454 064;0,66;
August 2021;554 374;0,76;
September 2021;614 631;0,78;
October 2021;616 338;0,77;
November 2021;660 230;0,81;
December 2021;660 711;0,81;
January 2022;578 291;0,73;
February 2022;702 087;0,78;
March 2022;669 829;0,77;
April 2022;623 946;0,75;
May 2022;509 308;0,67;
June 2022;462 941;0,60;
July 2022;467 524;0,61;
August 2022;541 295;0,65;
September 2022;588 815;0,67;
October 2022;580 321;0,66;
November 2022;571 731;0,65;
December 2022;574 050;0,65;
January 2023;518 170;0,64;
February 2023;567 228;0,64;
March 2023;512 302;0,63;
April 2023;519 313;0,64;
May 2023;409 934;0,55;
June 2023;381 002;0,50;
July 2023;383 094;0,51;
August 2023;460 352;0,60;
September 2023;551 320;0,65;
October 2023;524 921;0,64;
November 2023;529 425;0,65;
December 2023;534 391;0,64;
January 2024;501 673;0,64;
February 2024;492 376;0,61;
March 2024;492 401;0,65;
April 2024;475 531;0,64;
May 2024;375 017;0,55;
June 2024;362 491;0,53;
July 2024;348 254;0,51;
August 2024;438 524;0,63;
September 2024;514 402;0,66;
October 2024;537 916;0,64;
November 2024;577 403;0,67;
