Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Tyumen Oblast, all devices
December 2017;609 979;0,84;
January 2018;599 865;0,84;
February 2018;631 804;0,83;
March 2018;589 227;0,84;
April 2018;612 070;0,86;
May 2018;459 107;0,72;
June 2018;418 191;0,68;
July 2018;419 863;0,67;
August 2018;560 438;0,74;
September 2018;701 547;0,83;
October 2018;628 733;0,81;
November 2018;601 661;0,78;
December 2018;634 442;0,82;
January 2019;643 893;0,80;
February 2019;650 179;0,83;
March 2019;639 678;0,83;
April 2019;597 417;0,84;
May 2019;471 286;0,72;
June 2019;423 642;0,68;
July 2019;414 481;0,66;
August 2019;531 082;0,73;
September 2019;653 289;0,81;
October 2019;649 777;0,79;
November 2019;684 717;0,80;
December 2019;736 540;0,84;
January 2020;691 234;0,79;
February 2020;727 741;0,78;
March 2020;884 184;0,78;
April 2020;714 606;0,76;
May 2020;639 179;0,75;
June 2020;512 445;0,67;
July 2020;487 741;0,64;
August 2020;635 058;0,73;
September 2020;766 348;0,76;
October 2020;857 152;0,76;
November 2020;862 393;0,80;
December 2020;836 131;0,83;
January 2021;832 348;0,87;
February 2021;860 381;0,85;
March 2021;879 269;0,86;
April 2021;814 918;0,83;
May 2021;699 984;0,72;
June 2021;578 545;0,61;
July 2021;555 289;0,60;
August 2021;749 761;0,73;
September 2021;879 095;0,77;
October 2021;932 684;0,76;
November 2021;924 547;0,77;
December 2021;914 360;0,78;
January 2022;939 293;0,76;
February 2022;973 653;0,76;
March 2022;936 064;0,78;
April 2022;895 469;0,76;
May 2022;677 897;0,63;
June 2022;583 718;0,57;
July 2022;571 673;0,56;
August 2022;731 681;0,62;
September 2022;852 457;0,67;
October 2022;848 207;0,65;
November 2022;847 835;0,63;
December 2022;805 112;0,63;
January 2023;756 867;0,63;
February 2023;843 157;0,65;
March 2023;807 723;0,65;
April 2023;784 446;0,67;
May 2023;582 684;0,54;
June 2023;512 965;0,50;
July 2023;515 850;0,50;
August 2023;685 243;0,60;
September 2023;835 421;0,66;
October 2023;790 387;0,63;
November 2023;823 430;0,63;
December 2023;789 923;0,63;
January 2024;760 886;0,62;
February 2024;749 654;0,61;
March 2024;778 697;0,66;
April 2024;770 686;0,67;
May 2024;541 589;0,55;
June 2024;499 984;0,52;
July 2024;479 515;0,50;
August 2024;674 613;0,63;
September 2024;816 128;0,68;
October 2024;831 566;0,67;
November 2024;910 110;0,71;
