Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Yamalo-Nenets Autonomous Okrug, all devices
December 2017;165 937;0,74;
January 2018;172 764;0,78;
February 2018;181 842;0,76;
March 2018;174 618;0,77;
April 2018;177 824;0,79;
May 2018;113 717;0,68;
June 2018;104 182;0,68;
July 2018;109 987;0,69;
August 2018;169 298;0,78;
September 2018;226 944;0,87;
October 2018;196 861;0,79;
November 2018;196 479;0,80;
December 2018;189 609;0,77;
January 2019;204 765;0,81;
February 2019;211 615;0,82;
March 2019;209 637;0,82;
April 2019;189 398;0,80;
May 2019;129 407;0,72;
June 2019;117 431;0,73;
July 2019;121 583;0,72;
August 2019;179 926;0,81;
September 2019;234 419;0,87;
October 2019;217 818;0,80;
November 2019;237 233;0,84;
December 2019;234 865;0,83;
January 2020;240 960;0,81;
February 2020;242 642;0,78;
March 2020;288 711;0,73;
April 2020;285 229;0,78;
May 2020;191 841;0,73;
June 2020;156 878;0,70;
July 2020;151 445;0,70;
August 2020;217 688;0,79;
September 2020;279 424;0,82;
October 2020;305 138;0,79;
November 2020;298 558;0,85;
December 2020;276 581;0,83;
January 2021;294 739;0,91;
February 2021;299 593;0,89;
March 2021;333 118;0,94;
April 2021;299 324;0,89;
May 2021;229 616;0,82;
June 2021;182 708;0,76;
July 2021;183 053;0,75;
August 2021;276 931;0,84;
September 2021;322 462;0,86;
October 2021;322 933;0,84;
November 2021;351 136;0,87;
December 2021;331 293;0,82;
January 2022;335 088;0,81;
February 2022;347 033;0,82;
March 2022;356 512;0,86;
April 2022;307 340;0,81;
May 2022;218 185;0,70;
June 2022;191 854;0,69;
July 2022;199 999;0,70;
August 2022;263 184;0,71;
September 2022;319 071;0,76;
October 2022;329 870;0,76;
November 2022;324 141;0,73;
December 2022;296 841;0,68;
January 2023;298 056;0,73;
February 2023;331 273;0,75;
March 2023;323 784;0,75;
April 2023;303 186;0,78;
May 2023;210 685;0,69;
June 2023;179 407;0,66;
July 2023;186 674;0,68;
August 2023;268 941;0,77;
September 2023;336 268;0,83;
October 2023;316 813;0,79;
November 2023;320 199;0,77;
December 2023;304 226;0,75;
January 2024;311 723;0,78;
February 2024;307 261;0,76;
March 2024;319 353;0,80;
April 2024;291 351;0,80;
May 2024;197 817;0,71;
June 2024;179 847;0,72;
July 2024;179 350;0,71;
August 2024;260 854;0,83;
September 2024;332 682;0,88;
October 2024;330 702;0,84;
November 2024;356 080;0,87;
