Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Костромская область, все устройства
декабрь 2017;43;0,000164;
январь 2018;59;0,000231;
февраль 2018;132;0,000474;
март 2018;90;0,000354;
апрель 2018;118;0,000482;
май 2018;169;0,000727;
июнь 2018;95;0,000405;
июль 2018;77;0,000323;
август 2018;73;0,000273;
сентябрь 2018;95;0,000308;
октябрь 2018;84;0,000295;
ноябрь 2018;79;0,000285;
декабрь 2018;74;0,000257;
январь 2019;75;0,000278;
февраль 2019;108;0,000372;
март 2019;82;0,000301;
апрель 2019;73;0,000286;
май 2019;96;0,000406;
июнь 2019;103;0,000423;
июль 2019;75;0,000313;
август 2019;69;0,000274;
сентябрь 2019;70;0,000241;
октябрь 2019;71;0,000242;
ноябрь 2019;182;0,000594;
декабрь 2019;151;0,000481;
январь 2020;78;0,000259;
февраль 2020;82;0,000250;
март 2020;86;0,000189;
апрель 2020;52;0,000130;
май 2020;75;0,000247;
июнь 2020;66;0,000230;
июль 2020;79;0,000280;
август 2020;62;0,000199;
сентябрь 2020;50;0,000139;
октябрь 2020;64;0,000172;
ноябрь 2020;66;0,000182;
декабрь 2020;81;0,000230;
январь 2021;59;0,000173;
февраль 2021;52;0,000139;
март 2021;107;0,000282;
апрель 2021;46;0,000122;
май 2021;56;0,000159;
июнь 2021;55;0,000165;
июль 2021;54;0,000156;
август 2021;68;0,000181;
сентябрь 2021;90;0,000217;
октябрь 2021;62;0,000145;
ноябрь 2021;97;0,000222;
декабрь 2021;39;0,000089;
январь 2022;75;0,000176;
февраль 2022;231;0,000495;
март 2022;248;0,000562;
апрель 2022;258;0,000580;
май 2022;337;0,000866;
июнь 2022;285;0,000737;
июль 2022;241;0,000620;
август 2022;181;0,000421;
сентябрь 2022;256;0,000551;
октябрь 2022;134;0,000289;
ноябрь 2022;182;0,000395;
декабрь 2022;179;0,000386;
январь 2023;103;0,000243;
февраль 2023;155;0,000332;
март 2023;115;0,000269;
апрель 2023;183;0,000432;
май 2023;147;0,000383;
июнь 2023;157;0,000404;
июль 2023;173;0,000462;
август 2023;105;0,000265;
сентябрь 2023;147;0,000331;
октябрь 2023;126;0,000287;
ноябрь 2023;99;0,000225;
декабрь 2023;95;0,000212;
январь 2024;93;0,000224;
февраль 2024;115;0,000272;
март 2024;92;0,000228;
апрель 2024;96;0,000245;
май 2024;113;0,000325;
июнь 2024;127;0,000362;
июль 2024;130;0,000372;
август 2024;92;0,000252;
сентябрь 2024;124;0,000298;
октябрь 2024;74;0,000174;
ноябрь 2024;93;0,000213;
декабрь 2024;54;0,000123;
