Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Рязанская область, все устройства
декабрь 2017;143;0,00028;
январь 2018;202;0,00040;
февраль 2018;236;0,00043;
март 2018;167;0,00034;
апрель 2018;150;0,00031;
май 2018;187;0,00042;
июнь 2018;222;0,00049;
июль 2018;176;0,00039;
август 2018;99;0,00019;
сентябрь 2018;170;0,00028;
октябрь 2018;235;0,00043;
ноябрь 2018;264;0,00048;
декабрь 2018;204;0,00036;
январь 2019;246;0,00046;
февраль 2019;220;0,00038;
март 2019;209;0,00039;
апрель 2019;197;0,00040;
май 2019;277;0,00061;
июнь 2019;145;0,00031;
июль 2019;122;0,00025;
август 2019;151;0,00029;
сентябрь 2019;151;0,00026;
октябрь 2019;87;0,00014;
ноябрь 2019;492;0,00081;
декабрь 2019;165;0,00026;
январь 2020;142;0,00023;
февраль 2020;185;0,00027;
март 2020;191;0,00021;
апрель 2020;132;0,00016;
май 2020;104;0,00016;
июнь 2020;143;0,00024;
июль 2020;200;0,00034;
август 2020;135;0,00021;
сентябрь 2020;152;0,00020;
октябрь 2020;127;0,00016;
ноябрь 2020;147;0,00019;
декабрь 2020;192;0,00025;
январь 2021;122;0,00016;
февраль 2021;100;0,00012;
март 2021;99;0,00011;
апрель 2021;122;0,00014;
май 2021;141;0,00018;
июнь 2021;135;0,00019;
июль 2021;102;0,00014;
август 2021;137;0,00016;
сентябрь 2021;114;0,00013;
октябрь 2021;103;0,00011;
ноябрь 2021;110;0,00012;
декабрь 2021;162;0,00018;
январь 2022;170;0,00019;
февраль 2022;472;0,00049;
март 2022;484;0,00053;
апрель 2022;523;0,00060;
май 2022;458;0,00058;
июнь 2022;565;0,00073;
июль 2022;576;0,00074;
август 2022;358;0,00041;
сентябрь 2022;397;0,00043;
октябрь 2022;349;0,00037;
ноябрь 2022;400;0,00043;
декабрь 2022;256;0,00027;
январь 2023;230;0,00027;
февраль 2023;303;0,00033;
март 2023;239;0,00028;
апрель 2023;266;0,00031;
май 2023;270;0,00033;
июнь 2023;355;0,00044;
июль 2023;284;0,00037;
август 2023;210;0,00026;
сентябрь 2023;253;0,00028;
октябрь 2023;248;0,00027;
ноябрь 2023;183;0,00019;
декабрь 2023;208;0,00022;
январь 2024;183;0,00020;
февраль 2024;255;0,00028;
март 2024;209;0,00025;
апрель 2024;184;0,00022;
май 2024;298;0,00041;
июнь 2024;585;0,00079;
июль 2024;3 183;0,00426;
август 2024;2 391;0,00307;
сентябрь 2024;3 191;0,00366;
октябрь 2024;4 340;0,00475;
ноябрь 2024;4 300;0,00460;
декабрь 2024;3 384;0,00357;
