Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Санкт-Петербург, все устройства
декабрь 2017;5 520;0,00118;
январь 2018;5 087;0,00105;
февраль 2018;7 356;0,00143;
март 2018;6 569;0,00140;
апрель 2018;5 934;0,00130;
май 2018;6 931;0,00160;
июнь 2018;7 026;0,00165;
июль 2018;7 120;0,00164;
август 2018;6 352;0,00129;
сентябрь 2018;5 712;0,00100;
октябрь 2018;5 582;0,00107;
ноябрь 2018;5 849;0,00113;
декабрь 2018;4 534;0,00088;
январь 2019;4 600;0,00091;
февраль 2019;5 435;0,00101;
март 2019;5 047;0,00100;
апрель 2019;4 961;0,00101;
май 2019;5 125;0,00117;
июнь 2019;4 891;0,00111;
июль 2019;5 178;0,00118;
август 2019;4 624;0,00096;
сентябрь 2019;4 276;0,00077;
октябрь 2019;4 234;0,00077;
ноябрь 2019;10 741;0,00194;
декабрь 2019;5 215;0,00093;
январь 2020;5 546;0,00100;
февраль 2020;7 805;0,00136;
март 2020;4 675;0,00073;
апрель 2020;4 213;0,00072;
май 2020;3 957;0,00077;
июнь 2020;4 413;0,00087;
июль 2020;4 618;0,00091;
август 2020;4 445;0,00077;
сентябрь 2020;4 901;0,00077;
октябрь 2020;4 769;0,00071;
ноябрь 2020;4 857;0,00074;
декабрь 2020;3 722;0,00059;
январь 2021;3 651;0,00061;
февраль 2021;3 971;0,00059;
март 2021;4 138;0,00063;
апрель 2021;3 827;0,00067;
май 2021;4 329;0,00077;
июнь 2021;3 900;0,00066;
июль 2021;4 103;0,00065;
август 2021;3 560;0,00057;
сентябрь 2021;3 544;0,00058;
октябрь 2021;3 428;0,00054;
ноябрь 2021;4 474;0,00068;
декабрь 2021;5 109;0,00076;
январь 2022;5 962;0,00087;
февраль 2022;10 628;0,00146;
март 2022;11 455;0,00171;
апрель 2022;12 349;0,00175;
май 2022;12 344;0,00195;
июнь 2022;10 638;0,00185;
июль 2022;10 703;0,00181;
август 2022;9 099;0,00149;
сентябрь 2022;9 736;0,00150;
октябрь 2022;8 421;0,00122;
ноябрь 2022;7 993;0,00124;
декабрь 2022;6 068;0,00100;
январь 2023;6 473;0,00113;
февраль 2023;8 904;0,00138;
март 2023;6 981;0,00116;
апрель 2023;6 949;0,00118;
май 2023;6 521;0,00124;
июнь 2023;7 646;0,00153;
июль 2023;6 310;0,00126;
август 2023;4 721;0,00085;
сентябрь 2023;5 143;0,00085;
октябрь 2023;4 325;0,00072;
ноябрь 2023;5 172;0,00086;
декабрь 2023;4 841;0,00080;
январь 2024;4 556;0,00079;
февраль 2024;6 018;0,00101;
март 2024;5 832;0,00101;
апрель 2024;6 235;0,00114;
май 2024;6 979;0,00145;
июнь 2024;5 348;0,00112;
июль 2024;6 064;0,00130;
август 2024;6 053;0,00119;
сентябрь 2024;5 784;0,00099;
октябрь 2024;7 156;0,00118;
ноябрь 2024;8 515;0,00137;
декабрь 2024;6 542;0,00109;
