Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Новгородская область, все устройства
декабрь 2017;74;0,000321;
январь 2018;106;0,000456;
февраль 2018;133;0,000521;
март 2018;95;0,000408;
апрель 2018;111;0,000504;
май 2018;135;0,000633;
июнь 2018;91;0,000422;
июль 2018;91;0,000415;
август 2018;83;0,000340;
сентябрь 2018;53;0,000189;
октябрь 2018;99;0,000391;
ноябрь 2018;98;0,000393;
декабрь 2018;90;0,000347;
январь 2019;125;0,000492;
февраль 2019;124;0,000462;
март 2019;138;0,000567;
апрель 2019;156;0,000657;
май 2019;130;0,000609;
июнь 2019;91;0,000404;
июль 2019;90;0,000413;
август 2019;100;0,000427;
сентябрь 2019;70;0,000258;
октябрь 2019;134;0,000497;
ноябрь 2019;260;0,000930;
декабрь 2019;118;0,000409;
январь 2020;98;0,000345;
февраль 2020;140;0,000454;
март 2020;61;0,000160;
апрель 2020;88;0,000265;
май 2020;70;0,000257;
июнь 2020;87;0,000324;
июль 2020;76;0,000291;
август 2020;57;0,000193;
сентябрь 2020;94;0,000273;
октябрь 2020;64;0,000184;
ноябрь 2020;77;0,000235;
декабрь 2020;96;0,000307;
январь 2021;53;0,000179;
февраль 2021;43;0,000133;
март 2021;84;0,000242;
апрель 2021;58;0,000160;
май 2021;38;0,000116;
июнь 2021;73;0,000252;
июль 2021;38;0,000127;
август 2021;105;0,000298;
сентябрь 2021;84;0,000218;
октябрь 2021;107;0,000269;
ноябрь 2021;97;0,000241;
декабрь 2021;35;0,000086;
январь 2022;58;0,000146;
февраль 2022;233;0,000544;
март 2022;243;0,000588;
апрель 2022;272;0,000680;
май 2022;266;0,000736;
июнь 2022;203;0,000551;
июль 2022;296;0,000811;
август 2022;251;0,000622;
сентябрь 2022;207;0,000488;
октябрь 2022;191;0,000443;
ноябрь 2022;164;0,000385;
декабрь 2022;143;0,000340;
январь 2023;163;0,000417;
февраль 2023;211;0,000493;
март 2023;155;0,000387;
апрель 2023;156;0,000396;
май 2023;153;0,000425;
июнь 2023;201;0,000554;
июль 2023;124;0,000342;
август 2023;161;0,000429;
сентябрь 2023;128;0,000306;
октябрь 2023;122;0,000295;
ноябрь 2023;98;0,000237;
декабрь 2023;87;0,000207;
январь 2024;45;0,000114;
февраль 2024;90;0,000225;
март 2024;116;0,000299;
апрель 2024;86;0,000234;
май 2024;95;0,000291;
июнь 2024;103;0,000303;
июль 2024;88;0,000267;
август 2024;73;0,000210;
сентябрь 2024;84;0,000216;
октябрь 2024;99;0,000241;
ноябрь 2024;105;0,000254;
декабрь 2024;61;0,000147;
