Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Республика Башкортостан, все устройства
декабрь 2017;638;0,00040;
январь 2018;665;0,00043;
февраль 2018;1 070;0,00063;
март 2018;1 060;0,00069;
апрель 2018;872;0,00058;
май 2018;915;0,00068;
июнь 2018;824;0,00064;
июль 2018;901;0,00066;
август 2018;476;0,00031;
сентябрь 2018;505;0,00027;
октябрь 2018;560;0,00033;
ноябрь 2018;631;0,00038;
декабрь 2018;476;0,00028;
январь 2019;466;0,00028;
февраль 2019;639;0,00037;
март 2019;732;0,00045;
апрель 2019;539;0,00035;
май 2019;555;0,00040;
июнь 2019;572;0,00041;
июль 2019;559;0,00039;
август 2019;524;0,00033;
сентябрь 2019;484;0,00026;
октябрь 2019;536;0,00029;
ноябрь 2019;1 092;0,00058;
декабрь 2019;633;0,00033;
январь 2020;601;0,00032;
февраль 2020;604;0,00030;
март 2020;472;0,00017;
апрель 2020;404;0,00017;
май 2020;486;0,00027;
июнь 2020;456;0,00027;
июль 2020;440;0,00025;
август 2020;449;0,00022;
сентябрь 2020;413;0,00018;
октябрь 2020;533;0,00020;
ноябрь 2020;611;0,00025;
декабрь 2020;338;0,00015;
январь 2021;405;0,00018;
февраль 2021;350;0,00014;
март 2021;408;0,00017;
апрель 2021;312;0,00015;
май 2021;339;0,00016;
июнь 2021;418;0,00020;
июль 2021;454;0,00021;
август 2021;422;0,00018;
сентябрь 2021;461;0,00018;
октябрь 2021;351;0,00014;
ноябрь 2021;499;0,00019;
декабрь 2021;347;0,00013;
январь 2022;415;0,00016;
февраль 2022;1 210;0,00043;
март 2022;1 299;0,00050;
апрель 2022;1 241;0,00049;
май 2022;1 305;0,00058;
июнь 2022;1 289;0,00061;
июль 2022;1 556;0,00073;
август 2022;1 460;0,00059;
сентябрь 2022;1 231;0,00046;
октябрь 2022;1 328;0,00048;
ноябрь 2022;1 191;0,00042;
декабрь 2022;836;0,00031;
январь 2023;782;0,00031;
февраль 2023;1 180;0,00043;
март 2023;1 055;0,00042;
апрель 2023;913;0,00037;
май 2023;793;0,00036;
июнь 2023;1 104;0,00051;
июль 2023;836;0,00039;
август 2023;587;0,00025;
сентябрь 2023;702;0,00026;
октябрь 2023;439;0,00016;
ноябрь 2023;616;0,00023;
декабрь 2023;517;0,00019;
январь 2024;423;0,00017;
февраль 2024;674;0,00026;
март 2024;532;0,00023;
апрель 2024;593;0,00026;
май 2024;669;0,00034;
июнь 2024;855;0,00043;
июль 2024;767;0,00039;
август 2024;635;0,00030;
сентябрь 2024;653;0,00027;
октябрь 2024;683;0,00027;
ноябрь 2024;664;0,00025;
декабрь 2024;676;0,00026;
