Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Чувашская Республика, все устройства
декабрь 2017;141;0,000300;
январь 2018;101;0,000219;
февраль 2018;189;0,000380;
март 2018;91;0,000198;
апрель 2018;161;0,000371;
май 2018;130;0,000323;
июнь 2018;135;0,000355;
июль 2018;173;0,000453;
август 2018;165;0,000358;
сентябрь 2018;114;0,000214;
октябрь 2018;121;0,000246;
ноябрь 2018;142;0,000283;
декабрь 2018;159;0,000315;
январь 2019;95;0,000199;
февраль 2019;99;0,000195;
март 2019;130;0,000275;
апрель 2019;100;0,000228;
май 2019;162;0,000415;
июнь 2019;139;0,000354;
июль 2019;60;0,000152;
август 2019;102;0,000237;
сентябрь 2019;141;0,000278;
октябрь 2019;153;0,000299;
ноябрь 2019;254;0,000463;
декабрь 2019;160;0,000277;
январь 2020;154;0,000277;
февраль 2020;159;0,000268;
март 2020;138;0,000168;
апрель 2020;112;0,000168;
май 2020;88;0,000159;
июнь 2020;93;0,000194;
июль 2020;58;0,000119;
август 2020;88;0,000153;
сентябрь 2020;119;0,000176;
октябрь 2020;111;0,000158;
ноябрь 2020;107;0,000151;
декабрь 2020;140;0,000211;
январь 2021;98;0,000153;
февраль 2021;86;0,000126;
март 2021;131;0,000189;
апрель 2021;118;0,000180;
май 2021;95;0,000161;
июнь 2021;66;0,000120;
июль 2021;94;0,000162;
август 2021;88;0,000131;
сентябрь 2021;68;0,000094;
октябрь 2021;105;0,000138;
ноябрь 2021;86;0,000110;
декабрь 2021;75;0,000096;
январь 2022;70;0,000086;
февраль 2022;330;0,000396;
март 2022;269;0,000338;
апрель 2022;358;0,000460;
май 2022;358;0,000542;
июнь 2022;317;0,000496;
июль 2022;389;0,000616;
август 2022;278;0,000368;
сентябрь 2022;295;0,000359;
октябрь 2022;266;0,000321;
ноябрь 2022;177;0,000210;
декабрь 2022;145;0,000173;
январь 2023;168;0,000220;
февраль 2023;220;0,000266;
март 2023;169;0,000222;
апрель 2023;217;0,000288;
май 2023;203;0,000309;
июнь 2023;224;0,000348;
июль 2023;217;0,000344;
август 2023;124;0,000175;
сентябрь 2023;168;0,000207;
октябрь 2023;125;0,000157;
ноябрь 2023;122;0,000150;
декабрь 2023;128;0,000160;
январь 2024;99;0,000132;
февраль 2024;209;0,000273;
март 2024;105;0,000145;
апрель 2024;77;0,000108;
май 2024;136;0,000235;
июнь 2024;170;0,000292;
июль 2024;128;0,000219;
август 2024;129;0,000201;
сентябрь 2024;106;0,000141;
октябрь 2024;89;0,000114;
ноябрь 2024;89;0,000107;
декабрь 2024;77;0,000097;
