Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Красноярский край, все устройства
декабрь 2017;551;0,00044;
январь 2018;586;0,00048;
февраль 2018;802;0,00062;
март 2018;579;0,00049;
апрель 2018;681;0,00054;
май 2018;590;0,00058;
июнь 2018;781;0,00075;
июль 2018;957;0,00089;
август 2018;503;0,00040;
сентябрь 2018;384;0,00026;
октябрь 2018;519;0,00039;
ноябрь 2018;495;0,00037;
декабрь 2018;410;0,00031;
январь 2019;444;0,00033;
февраль 2019;411;0,00031;
март 2019;434;0,00033;
апрель 2019;432;0,00035;
май 2019;401;0,00037;
июнь 2019;505;0,00048;
июль 2019;402;0,00037;
август 2019;418;0,00035;
сентябрь 2019;375;0,00026;
октябрь 2019;357;0,00025;
ноябрь 2019;1 524;0,00104;
декабрь 2019;601;0,00040;
январь 2020;624;0,00043;
февраль 2020;626;0,00039;
март 2020;692;0,00036;
апрель 2020;572;0,00032;
май 2020;504;0,00034;
июнь 2020;439;0,00033;
июль 2020;429;0,00032;
август 2020;382;0,00025;
сентябрь 2020;645;0,00034;
октябрь 2020;615;0,00029;
ноябрь 2020;705;0,00036;
декабрь 2020;519;0,00030;
январь 2021;373;0,00023;
февраль 2021;445;0,00025;
март 2021;416;0,00023;
апрель 2021;394;0,00022;
май 2021;380;0,00024;
июнь 2021;341;0,00023;
июль 2021;374;0,00024;
август 2021;306;0,00018;
сентябрь 2021;323;0,00017;
октябрь 2021;309;0,00016;
ноябрь 2021;359;0,00017;
декабрь 2021;286;0,00014;
январь 2022;329;0,00016;
февраль 2022;994;0,00046;
март 2022;1 182;0,00058;
апрель 2022;1 056;0,00056;
май 2022;1 212;0,00070;
июнь 2022;1 057;0,00064;
июль 2022;1 259;0,00071;
август 2022;913;0,00049;
сентябрь 2022;1 002;0,00049;
октябрь 2022;1 019;0,00048;
ноябрь 2022;956;0,00044;
декабрь 2022;653;0,00031;
январь 2023;568;0,00029;
февраль 2023;924;0,00042;
март 2023;870;0,00040;
апрель 2023;775;0,00038;
май 2023;775;0,00044;
июнь 2023;729;0,00044;
июль 2023;591;0,00034;
август 2023;502;0,00026;
сентябрь 2023;522;0,00024;
октябрь 2023;483;0,00023;
ноябрь 2023;615;0,00028;
декабрь 2023;568;0,00027;
январь 2024;487;0,00025;
февраль 2024;635;0,00030;
март 2024;583;0,00029;
апрель 2024;660;0,00036;
май 2024;681;0,00045;
июнь 2024;669;0,00045;
июль 2024;591;0,00040;
август 2024;575;0,00035;
сентябрь 2024;826;0,00043;
октябрь 2024;864;0,00044;
ноябрь 2024;856;0,00042;
декабрь 2024;601;0,00030;
