Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Новосибирская область, все устройства
декабрь 2017;1 135;0,00061;
январь 2018;1 034;0,00056;
февраль 2018;1 301;0,00064;
март 2018;1 239;0,00067;
апрель 2018;1 095;0,00058;
май 2018;1 160;0,00073;
июнь 2018;1 132;0,00070;
июль 2018;1 158;0,00070;
август 2018;1 015;0,00054;
сентябрь 2018;1 050;0,00047;
октябрь 2018;1 020;0,00051;
ноябрь 2018;1 228;0,00057;
декабрь 2018;970;0,00042;
январь 2019;881;0,00042;
февраль 2019;1 098;0,00051;
март 2019;1 054;0,00050;
апрель 2019;1 024;0,00050;
май 2019;1 107;0,00060;
июнь 2019;983;0,00055;
июль 2019;936;0,00052;
август 2019;881;0,00046;
сентябрь 2019;897;0,00043;
октябрь 2019;781;0,00037;
ноябрь 2019;3 042;0,00137;
декабрь 2019;1 365;0,00060;
январь 2020;1 342;0,00061;
февраль 2020;1 398;0,00059;
март 2020;1 084;0,00039;
апрель 2020;1 156;0,00045;
май 2020;1 025;0,00050;
июнь 2020;1 009;0,00051;
июль 2020;1 037;0,00051;
август 2020;877;0,00038;
сентябрь 2020;1 000;0,00039;
октябрь 2020;918;0,00034;
ноябрь 2020;1 025;0,00038;
декабрь 2020;781;0,00031;
январь 2021;668;0,00028;
февраль 2021;830;0,00032;
март 2021;771;0,00031;
апрель 2021;848;0,00037;
май 2021;720;0,00032;
июнь 2021;597;0,00026;
июль 2021;672;0,00029;
август 2021;495;0,00021;
сентябрь 2021;596;0,00024;
октябрь 2021;629;0,00026;
ноябрь 2021;730;0,00029;
декабрь 2021;625;0,00025;
январь 2022;711;0,00028;
февраль 2022;1 717;0,00064;
март 2022;2 047;0,00080;
апрель 2022;1 810;0,00072;
май 2022;2 178;0,00093;
июнь 2022;2 135;0,00095;
июль 2022;1 923;0,00082;
август 2022;1 373;0,00054;
сентябрь 2022;1 715;0,00062;
октябрь 2022;1 656;0,00058;
ноябрь 2022;1 488;0,00052;
декабрь 2022;1 135;0,00041;
январь 2023;1 223;0,00047;
февраль 2023;1 841;0,00065;
март 2023;1 401;0,00053;
апрель 2023;1 301;0,00052;
май 2023;1 362;0,00062;
июнь 2023;1 398;0,00064;
июль 2023;1 253;0,00058;
август 2023;895;0,00038;
сентябрь 2023;872;0,00033;
октябрь 2023;775;0,00030;
ноябрь 2023;848;0,00032;
декабрь 2023;791;0,00029;
январь 2024;752;0,00030;
февраль 2024;1 058;0,00042;
март 2024;1 027;0,00043;
апрель 2024;1 074;0,00047;
май 2024;1 247;0,00061;
июнь 2024;1 484;0,00073;
июль 2024;1 361;0,00067;
август 2024;1 393;0,00063;
сентябрь 2024;1 373;0,00053;
октябрь 2024;2 464;0,00096;
ноябрь 2024;3 306;0,00125;
декабрь 2024;3 385;0,00129;
