Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Брянская область, все устройства
декабрь 2017;178;0,00036;
январь 2018;167;0,00035;
февраль 2018;232;0,00044;
март 2018;152;0,00034;
апрель 2018;127;0,00028;
май 2018;241;0,00056;
июнь 2018;266;0,00059;
июль 2018;216;0,00050;
август 2018;140;0,00028;
сентябрь 2018;170;0,00030;
октябрь 2018;209;0,00040;
ноябрь 2018;288;0,00055;
декабрь 2018;178;0,00031;
январь 2019;198;0,00037;
февраль 2019;155;0,00027;
март 2019;150;0,00029;
апрель 2019;199;0,00040;
май 2019;185;0,00041;
июнь 2019;206;0,00043;
июль 2019;119;0,00025;
август 2019;150;0,00030;
сентябрь 2019;132;0,00023;
октябрь 2019;88;0,00015;
ноябрь 2019;251;0,00042;
декабрь 2019;139;0,00022;
январь 2020;157;0,00027;
февраль 2020;153;0,00024;
март 2020;105;0,00012;
апрель 2020;148;0,00018;
май 2020;145;0,00024;
июнь 2020;101;0,00018;
июль 2020;195;0,00035;
август 2020;98;0,00016;
сентябрь 2020;170;0,00025;
октябрь 2020;129;0,00016;
ноябрь 2020;198;0,00028;
декабрь 2020;93;0,00013;
январь 2021;92;0,00014;
февраль 2021;108;0,00014;
март 2021;174;0,00023;
апрель 2021;85;0,00011;
май 2021;152;0,00022;
июнь 2021;132;0,00019;
июль 2021;96;0,00014;
август 2021;103;0,00014;
сентябрь 2021;135;0,00017;
октябрь 2021;113;0,00013;
ноябрь 2021;133;0,00015;
декабрь 2021;100;0,00011;
январь 2022;162;0,00019;
февраль 2022;316;0,00035;
март 2022;600;0,00069;
апрель 2022;400;0,00049;
май 2022;623;0,00085;
июнь 2022;493;0,00066;
июль 2022;568;0,00077;
август 2022;429;0,00052;
сентябрь 2022;304;0,00034;
октябрь 2022;322;0,00036;
ноябрь 2022;400;0,00045;
декабрь 2022;234;0,00026;
январь 2023;278;0,00034;
февраль 2023;448;0,00051;
март 2023;268;0,00033;
апрель 2023;245;0,00031;
май 2023;189;0,00025;
июнь 2023;387;0,00053;
июль 2023;266;0,00037;
август 2023;205;0,00027;
сентябрь 2023;209;0,00024;
октябрь 2023;152;0,00018;
ноябрь 2023;159;0,00019;
декабрь 2023;108;0,00012;
январь 2024;131;0,00016;
февраль 2024;207;0,00025;
март 2024;158;0,00020;
апрель 2024;179;0,00024;
май 2024;143;0,00021;
июнь 2024;195;0,00029;
июль 2024;198;0,00030;
август 2024;165;0,00024;
сентябрь 2024;203;0,00026;
октябрь 2024;211;0,00026;
ноябрь 2024;183;0,00022;
декабрь 2024;176;0,00021;
