Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Карачаево-Черкесская Республика, все устройства
декабрь 2017;28;0,000343;
январь 2018;41;0,000520;
февраль 2018;33;0,000385;
март 2018;26;0,000353;
апрель 2018;12;0,000155;
май 2018;23;0,000320;
июнь 2018;47;0,000629;
июль 2018;51;0,000702;
август 2018;45;0,000584;
сентябрь 2018;29;0,000335;
октябрь 2018;75;0,000926;
ноябрь 2018;64;0,001137;
декабрь 2018;5;0,000082;
январь 2019;8;0,000132;
февраль 2019;20;0,000306;
март 2019;54;0,000877;
апрель 2019;23;0,000396;
май 2019;14;0,000254;
июнь 2019;18;0,000317;
июль 2019;18;0,000333;
август 2019;22;0,000393;
сентябрь 2019;25;0,000347;
октябрь 2019;15;0,000205;
ноябрь 2019;54;0,000727;
декабрь 2019;27;0,000343;
январь 2020;31;0,000420;
февраль 2020;44;0,000541;
март 2020;16;0,000162;
апрель 2020;50;0,000550;
май 2020;12;0,000151;
июнь 2020;25;0,000349;
июль 2020;12;0,000174;
август 2020;22;0,000296;
сентябрь 2020;7;0,000080;
октябрь 2020;18;0,000185;
ноябрь 2020;31;0,000323;
декабрь 2020;13;0,000152;
январь 2021;28;0,000352;
февраль 2021;18;0,000207;
март 2021;15;0,000153;
апрель 2021;8;0,000072;
май 2021;50;0,000478;
июнь 2021;20;0,000245;
июль 2021;17;0,000204;
август 2021;9;0,000087;
сентябрь 2021;38;0,000326;
октябрь 2021;12;0,000098;
ноябрь 2021;38;0,000296;
декабрь 2021;15;0,000109;
январь 2022;24;0,000177;
февраль 2022;63;0,000444;
март 2022;61;0,000466;
апрель 2022;87;0,000662;
май 2022;96;0,000801;
июнь 2022;102;0,000872;
июль 2022;58;0,000504;
август 2022;105;0,000847;
сентябрь 2022;80;0,000586;
октябрь 2022;86;0,000626;
ноябрь 2022;78;0,000507;
декабрь 2022;63;0,000424;
январь 2023;36;0,000258;
февраль 2023;98;0,000667;
март 2023;58;0,000415;
апрель 2023;91;0,000679;
май 2023;92;0,000779;
июнь 2023;81;0,000684;
июль 2023;51;0,000430;
август 2023;32;0,000260;
сентябрь 2023;40;0,000284;
октябрь 2023;53;0,000375;
ноябрь 2023;40;0,000276;
декабрь 2023;27;0,000183;
январь 2024;40;0,000288;
февраль 2024;36;0,000259;
март 2024;24;0,000191;
апрель 2024;31;0,000241;
май 2024;23;0,000207;
июнь 2024;71;0,000618;
июль 2024;29;0,000258;
август 2024;11;0,000093;
сентябрь 2024;24;0,000181;
октябрь 2024;22;0,000160;
ноябрь 2024;28;0,000189;
декабрь 2024;63;0,000422;
