Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Свердловская область, все устройства
декабрь 2017;0;0;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;0;0;
июль 2018;0;0;
август 2018;0;0;
сентябрь 2018;0;0;
октябрь 2018;2;0,00000066;
ноябрь 2018;3;0,00000096;
декабрь 2018;0;0;
январь 2019;1;0,00000032;
февраль 2019;1;0,00000030;
март 2019;0;0;
апрель 2019;2;0,00000066;
май 2019;1;0,00000036;
июнь 2019;4;0,00000149;
июль 2019;4;0,00000148;
август 2019;0;0;
сентябрь 2019;1;0,00000031;
октябрь 2019;3;0,00000093;
ноябрь 2019;2;0,00000061;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;1;0,00000027;
май 2020;2;0,00000066;
июнь 2020;3;0,00000105;
июль 2020;3;0,00000101;
август 2020;2;0,00000055;
сентябрь 2020;0;0;
октябрь 2020;4;0,00000091;
ноябрь 2020;0;0;
декабрь 2020;0;0;
январь 2021;0;0;
февраль 2021;4;0,00000109;
март 2021;0;0;
апрель 2021;0;0;
май 2021;0;0;
июнь 2021;0;0;
июль 2021;0;0;
август 2021;0;0;
сентябрь 2021;0;0;
октябрь 2021;0;0;
ноябрь 2021;0;0;
декабрь 2021;0;0;
январь 2022;0;0;
февраль 2022;2;0,00000052;
март 2022;4;0,00000109;
апрель 2022;0;0;
май 2022;7;0,00000210;
июнь 2022;1;0,00000031;
июль 2022;2;0,00000061;
август 2022;1;0,00000027;
сентябрь 2022;0;0;
октябрь 2022;6;0,00000152;
ноябрь 2022;4;0,00000100;
декабрь 2022;2;0,00000052;
январь 2023;0;0;
февраль 2023;7;0,00000182;
март 2023;6;0,00000165;
апрель 2023;2;0,00000057;
май 2023;0;0;
июнь 2023;2;0,00000065;
июль 2023;4;0,00000128;
август 2023;0;0;
сентябрь 2023;1;0,00000026;
октябрь 2023;3;0,00000081;
ноябрь 2023;1;0,00000026;
декабрь 2023;2;0,00000054;
январь 2024;1;0,00000028;
февраль 2024;17;0,00000466;
март 2024;7;0,00000202;
апрель 2024;6;0,00000176;
май 2024;4;0,00000135;
июнь 2024;8;0,00000276;
июль 2024;4;0,00000137;
август 2024;12;0,00000382;
сентябрь 2024;5;0,00000136;
октябрь 2024;7;0,00000189;
ноябрь 2024;15;0,00000391;
декабрь 2024;1;0,00000026;
