Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Липецкая область, все устройства
декабрь 2017;145 412;0,28;
январь 2018;145 874;0,28;
февраль 2018;149 672;0,26;
март 2018;123 318;0,25;
апрель 2018;112 192;0,23;
май 2018;106 282;0,23;
июнь 2018;122 614;0,26;
июль 2018;123 740;0,27;
август 2018;136 845;0,26;
сентябрь 2018;154 728;0,26;
октябрь 2018;134 550;0,25;
ноябрь 2018;106 218;0,19;
декабрь 2018;149 061;0,26;
январь 2019;156 099;0,29;
февраль 2019;155 024;0,27;
март 2019;121 532;0,23;
апрель 2019;106 540;0,21;
май 2019;106 942;0,23;
июнь 2019;120 423;0,25;
июль 2019;114 129;0,24;
август 2019;120 910;0,25;
сентябрь 2019;139 966;0,25;
октябрь 2019;133 818;0,24;
ноябрь 2019;118 038;0,20;
декабрь 2019;160 034;0,26;
январь 2020;154 784;0,26;
февраль 2020;135 917;0,20;
март 2020;101 490;0,12;
апрель 2020;129 813;0,17;
май 2020;128 912;0,22;
июнь 2020;133 794;0,24;
июль 2020;128 623;0,23;
август 2020;128 647;0,21;
сентябрь 2020;131 621;0,19;
октябрь 2020;138 283;0,19;
ноябрь 2020;112 922;0,16;
декабрь 2020;160 275;0,23;
январь 2021;166 559;0,25;
февраль 2021;180 327;0,24;
март 2021;151 307;0,21;
апрель 2021;138 762;0,19;
май 2021;147 443;0,21;
июнь 2021;144 552;0,22;
июль 2021;146 656;0,22;
август 2021;146 889;0,20;
сентябрь 2021;138 959;0,18;
октябрь 2021;147 638;0,18;
ноябрь 2021;130 334;0,15;
декабрь 2021;184 921;0,22;
январь 2022;169 402;0,20;
февраль 2022;188 083;0,21;
март 2022;161 952;0,19;
апрель 2022;159 382;0,19;
май 2022;150 652;0,20;
июнь 2022;156 212;0,21;
июль 2022;154 432;0,21;
август 2022;140 465;0,17;
сентябрь 2022;135 573;0,15;
октябрь 2022;137 381;0,15;
ноябрь 2022;113 885;0,12;
декабрь 2022;147 411;0,16;
январь 2023;133 004;0,16;
февраль 2023;145 900;0,16;
март 2023;117 355;0,14;
апрель 2023;111 398;0,14;
май 2023;113 197;0,15;
июнь 2023;120 178;0,16;
июль 2023;125 476;0,17;
август 2023;114 941;0,15;
сентябрь 2023;126 736;0,15;
октябрь 2023;120 628;0,14;
ноябрь 2023;94 867;0,11;
декабрь 2023;124 045;0,14;
январь 2024;118 937;0,14;
февраль 2024;112 091;0,13;
март 2024;95 372;0,12;
апрель 2024;94 497;0,12;
май 2024;96 587;0,14;
июнь 2024;110 561;0,16;
июль 2024;104 601;0,15;
август 2024;102 735;0,15;
сентябрь 2024;110 190;0,14;
октябрь 2024;111 108;0,14;
ноябрь 2024;93 539;0,11;
декабрь 2024;121 955;0,14;
