Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Тамбовская область, все устройства
декабрь 2017;113 420;0,33;
январь 2018;115 423;0,33;
февраль 2018;116 006;0,31;
март 2018;97 044;0,29;
апрель 2018;84 295;0,26;
май 2018;79 837;0,27;
июнь 2018;90 649;0,29;
июль 2018;91 573;0,30;
август 2018;98 914;0,28;
сентябрь 2018;113 008;0,27;
октябрь 2018;104 116;0,27;
ноябрь 2018;84 584;0,22;
декабрь 2018;119 985;0,29;
январь 2019;124 160;0,31;
февраль 2019;122 419;0,29;
март 2019;97 484;0,26;
апрель 2019;83 643;0,24;
май 2019;83 188;0,26;
июнь 2019;93 942;0,28;
июль 2019;91 630;0,27;
август 2019;96 275;0,27;
сентябрь 2019;110 359;0,27;
октябрь 2019;107 355;0,26;
ноябрь 2019;91 465;0,21;
декабрь 2019;121 779;0,27;
январь 2020;116 253;0,27;
февраль 2020;104 074;0,22;
март 2020;81 660;0,13;
апрель 2020;97 670;0,19;
май 2020;100 600;0,24;
июнь 2020;112 826;0,29;
июль 2020;105 158;0,27;
август 2020;106 651;0,24;
сентябрь 2020;109 533;0,21;
октябрь 2020;114 918;0,21;
ноябрь 2020;94 328;0,18;
декабрь 2020;132 428;0,26;
январь 2021;141 806;0,28;
февраль 2021;154 792;0,28;
март 2021;134 769;0,24;
апрель 2021;123 022;0,22;
май 2021;127 086;0,25;
июнь 2021;122 565;0,25;
июль 2021;118 474;0,24;
август 2021;123 945;0,22;
сентябрь 2021;123 049;0,19;
октябрь 2021;128 987;0,20;
ноябрь 2021;111 627;0,17;
декабрь 2021;156 266;0,24;
январь 2022;141 037;0,22;
февраль 2022;155 746;0,22;
март 2022;135 759;0,21;
апрель 2022;124 332;0,19;
май 2022;118 919;0,21;
июнь 2022;122 679;0,22;
июль 2022;121 053;0,21;
август 2022;116 948;0,18;
сентябрь 2022;114 381;0,16;
октябрь 2022;113 830;0,16;
ноябрь 2022;89 781;0,12;
декабрь 2022;118 049;0,17;
январь 2023;105 934;0,16;
февраль 2023;114 171;0,16;
март 2023;89 244;0,14;
апрель 2023;84 631;0,13;
май 2023;88 345;0,15;
июнь 2023;92 638;0,16;
июль 2023;96 148;0,17;
август 2023;88 838;0,15;
сентябрь 2023;94 973;0,14;
октябрь 2023;92 165;0,14;
ноябрь 2023;73 605;0,11;
декабрь 2023;97 871;0,14;
январь 2024;91 076;0,14;
февраль 2024;91 455;0,14;
март 2024;78 657;0,13;
апрель 2024;78 261;0,13;
май 2024;78 970;0,15;
июнь 2024;88 210;0,17;
июль 2024;87 027;0,17;
август 2024;85 863;0,16;
сентябрь 2024;91 189;0,15;
октябрь 2024;89 863;0,14;
ноябрь 2024;78 226;0,12;
декабрь 2024;99 816;0,15;
