Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Республика Башкортостан, все устройства
декабрь 2017;641 860;0,40;
январь 2018;606 297;0,39;
февраль 2018;605 613;0,35;
март 2018;515 928;0,33;
апрель 2018;429 628;0,28;
май 2018;395 613;0,29;
июнь 2018;434 067;0,34;
июль 2018;493 250;0,36;
август 2018;517 198;0,33;
сентябрь 2018;595 756;0,32;
октябрь 2018;543 948;0,32;
ноябрь 2018;427 401;0,25;
декабрь 2018;593 997;0,35;
январь 2019;587 672;0,35;
февраль 2019;573 406;0,33;
март 2019;502 311;0,30;
апрель 2019;412 653;0,26;
май 2019;410 920;0,29;
июнь 2019;472 775;0,34;
июль 2019;481 381;0,33;
август 2019;509 795;0,32;
сентябрь 2019;593 203;0,32;
октябрь 2019;573 685;0,31;
ноябрь 2019;451 858;0,24;
декабрь 2019;633 797;0,33;
январь 2020;574 073;0,31;
февраль 2020;516 085;0,26;
март 2020;342 443;0,12;
апрель 2020;384 394;0,17;
май 2020;451 145;0,25;
июнь 2020;449 005;0,27;
июль 2020;477 233;0,27;
август 2020;491 172;0,24;
сентябрь 2020;496 511;0,22;
октябрь 2020;521 928;0,20;
ноябрь 2020;451 595;0,19;
декабрь 2020;635 849;0,29;
январь 2021;619 058;0,28;
февраль 2021;656 949;0,27;
март 2021;565 555;0,24;
апрель 2021;451 179;0,21;
май 2021;508 344;0,25;
июнь 2021;526 896;0,26;
июль 2021;549 379;0,26;
август 2021;544 326;0,24;
сентябрь 2021;517 624;0,20;
октябрь 2021;564 542;0,22;
ноябрь 2021;489 647;0,18;
декабрь 2021;684 801;0,27;
январь 2022;604 329;0,23;
февраль 2022;668 287;0,24;
март 2022;587 978;0,22;
апрель 2022;526 538;0,20;
май 2022;538 500;0,23;
июнь 2022;517 598;0,24;
июль 2022;547 971;0,25;
август 2022;495 175;0,20;
сентябрь 2022;464 270;0,17;
октябрь 2022;472 512;0,17;
ноябрь 2022;379 805;0,13;
декабрь 2022;496 948;0,18;
январь 2023;447 930;0,17;
февраль 2023;478 205;0,17;
март 2023;373 471;0,15;
апрель 2023;346 933;0,14;
май 2023;357 065;0,16;
июнь 2023;403 001;0,18;
июль 2023;430 971;0,20;
август 2023;398 972;0,17;
сентябрь 2023;427 877;0,16;
октябрь 2023;420 218;0,16;
ноябрь 2023;319 731;0,11;
декабрь 2023;439 619;0,16;
январь 2024;396 673;0,16;
февраль 2024;379 301;0,15;
март 2024;309 834;0,13;
апрель 2024;310 416;0,13;
май 2024;297 869;0,15;
июнь 2024;366 146;0,18;
июль 2024;357 207;0,18;
август 2024;352 016;0,16;
сентябрь 2024;382 742;0,15;
октябрь 2024;384 520;0,15;
ноябрь 2024;321 442;0,12;
декабрь 2024;436 686;0,17;
