Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Кемеровская область (Кузбасс), все устройства
декабрь 2017;260 676;0,25;
январь 2018;253 649;0,25;
февраль 2018;248 739;0,23;
март 2018;225 550;0,22;
апрель 2018;214 172;0,20;
май 2018;173 681;0,20;
июнь 2018;208 149;0,23;
июль 2018;221 670;0,24;
август 2018;226 922;0,22;
сентябрь 2018;276 323;0,23;
октябрь 2018;238 991;0,22;
ноябрь 2018;191 269;0,17;
декабрь 2018;262 751;0,23;
январь 2019;252 310;0,23;
февраль 2019;251 874;0,22;
март 2019;237 398;0,21;
апрель 2019;205 388;0,20;
май 2019;205 020;0,22;
июнь 2019;223 559;0,25;
июль 2019;230 188;0,25;
август 2019;242 897;0,24;
сентябрь 2019;283 901;0,25;
октябрь 2019;268 457;0,23;
ноябрь 2019;240 296;0,20;
декабрь 2019;336 877;0,27;
январь 2020;327 832;0,27;
февраль 2020;302 434;0,22;
март 2020;213 592;0,13;
апрель 2020;241 663;0,16;
май 2020;274 750;0,22;
июнь 2020;272 636;0,25;
июль 2020;269 677;0,24;
август 2020;270 931;0,21;
сентябрь 2020;298 455;0,19;
октябрь 2020;303 272;0,18;
ноябрь 2020;258 649;0,17;
декабрь 2020;352 069;0,24;
январь 2021;339 365;0,25;
февраль 2021;352 551;0,24;
март 2021;331 010;0,23;
апрель 2021;272 428;0,19;
май 2021;304 977;0,23;
июнь 2021;288 364;0,24;
июль 2021;304 324;0,24;
август 2021;303 656;0,22;
сентябрь 2021;319 460;0,21;
октябрь 2021;309 472;0,20;
ноябрь 2021;269 107;0,16;
декабрь 2021;354 545;0,22;
январь 2022;323 700;0,20;
февраль 2022;344 503;0,20;
март 2022;319 507;0,20;
апрель 2022;280 722;0,18;
май 2022;300 851;0,21;
июнь 2022;295 840;0,22;
июль 2022;303 770;0,22;
август 2022;270 550;0,17;
сентябрь 2022;271 974;0,16;
октябрь 2022;273 508;0,15;
ноябрь 2022;216 719;0,12;
декабрь 2022;284 038;0,16;
январь 2023;253 013;0,15;
февраль 2023;275 724;0,15;
март 2023;246 383;0,14;
апрель 2023;217 277;0,13;
май 2023;213 280;0,15;
июнь 2023;234 297;0,17;
июль 2023;256 440;0,19;
август 2023;239 941;0,16;
сентябрь 2023;261 728;0,16;
октябрь 2023;241 326;0,15;
ноябрь 2023;188 395;0,11;
декабрь 2023;260 565;0,15;
январь 2024;232 895;0,14;
февраль 2024;227 998;0,14;
март 2024;212 144;0,14;
апрель 2024;194 436;0,13;
май 2024;182 188;0,15;
июнь 2024;215 376;0,18;
июль 2024;224 399;0,18;
август 2024;215 785;0,16;
сентябрь 2024;249 772;0,16;
октябрь 2024;235 853;0,15;
ноябрь 2024;203 250;0,12;
декабрь 2024;271 542;0,17;
