Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Амурская область, все устройства
декабрь 2017;56 108;0,286;
январь 2018;54 625;0,281;
февраль 2018;54 806;0,268;
март 2018;46 447;0,248;
апрель 2018;41 892;0,226;
май 2018;41 962;0,238;
июнь 2018;46 025;0,259;
июль 2018;45 945;0,263;
август 2018;45 055;0,229;
сентябрь 2018;54 473;0,233;
октябрь 2018;51 305;0,230;
ноябрь 2018;41 979;0,193;
декабрь 2018;54 974;0,250;
январь 2019;53 460;0,248;
февраль 2019;54 284;0,241;
март 2019;50 326;0,234;
апрель 2019;42 329;0,219;
май 2019;41 664;0,248;
июнь 2019;44 614;0,254;
июль 2019;43 101;0,250;
август 2019;46 653;0,239;
сентябрь 2019;56 301;0,240;
октябрь 2019;54 217;0,227;
ноябрь 2019;51 975;0,199;
декабрь 2019;68 027;0,252;
январь 2020;64 310;0,246;
февраль 2020;62 534;0,215;
март 2020;47 148;0,132;
апрель 2020;50 122;0,147;
май 2020;55 979;0,210;
июнь 2020;54 236;0,226;
июль 2020;53 819;0,222;
август 2020;54 256;0,190;
сентябрь 2020;58 990;0,173;
октябрь 2020;61 116;0,167;
ноябрь 2020;51 991;0,149;
декабрь 2020;70 977;0,210;
январь 2021;68 328;0,216;
февраль 2021;69 521;0,209;
март 2021;65 616;0,196;
апрель 2021;59 845;0,185;
май 2021;61 503;0,207;
июнь 2021;62 564;0,214;
июль 2021;57 198;0,200;
август 2021;56 626;0,179;
сентябрь 2021;58 025;0,168;
октябрь 2021;56 123;0,157;
ноябрь 2021;52 505;0,141;
декабрь 2021;69 426;0,192;
январь 2022;63 664;0,180;
февраль 2022;68 386;0,175;
март 2022;66 736;0,178;
апрель 2022;60 286;0,165;
май 2022;60 937;0,188;
июнь 2022;58 190;0,187;
июль 2022;56 756;0,182;
август 2022;51 255;0,144;
сентябрь 2022;51 488;0,133;
октябрь 2022;56 634;0,137;
ноябрь 2022;44 440;0,110;
декабрь 2022;58 268;0,142;
январь 2023;52 531;0,140;
февраль 2023;56 194;0,138;
март 2023;49 012;0,127;
апрель 2023;44 918;0,120;
май 2023;42 512;0,130;
июнь 2023;44 584;0,142;
июль 2023;46 611;0,148;
август 2023;42 475;0,125;
сентябрь 2023;46 994;0,124;
октябрь 2023;44 918;0,119;
ноябрь 2023;36 709;0,095;
декабрь 2023;48 145;0,127;
январь 2024;45 161;0,126;
февраль 2024;44 871;0,121;
март 2024;41 851;0,119;
апрель 2024;36 907;0,112;
май 2024;35 785;0,125;
июнь 2024;40 381;0,142;
июль 2024;37 874;0,137;
август 2024;37 753;0,124;
сентябрь 2024;44 087;0,125;
октябрь 2024;43 103;0,119;
ноябрь 2024;35 755;0,093;
декабрь 2024;46 510;0,125;
