Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Республика Ингушетия, все устройства
декабрь 2017;3 792;0,094;
январь 2018;4 212;0,105;
февраль 2018;4 833;0,112;
март 2018;4 812;0,126;
апрель 2018;3 222;0,085;
май 2018;2 872;0,085;
июнь 2018;4 244;0,109;
июль 2018;4 087;0,104;
август 2018;4 199;0,104;
сентябрь 2018;3 198;0,071;
октябрь 2018;3 929;0,086;
ноябрь 2018;3 807;0,078;
декабрь 2018;4 576;0,091;
январь 2019;4 317;0,089;
февраль 2019;4 205;0,084;
март 2019;4 470;0,091;
апрель 2019;3 983;0,089;
май 2019;4 151;0,101;
июнь 2019;4 821;0,110;
июль 2019;4 975;0,116;
август 2019;4 489;0,101;
сентябрь 2019;4 747;0,095;
октябрь 2019;5 039;0,097;
ноябрь 2019;5 010;0,084;
декабрь 2019;5 358;0,088;
январь 2020;5 402;0,097;
февраль 2020;4 745;0,077;
март 2020;2 939;0,038;
апрель 2020;3 206;0,046;
май 2020;4 593;0,078;
июнь 2020;5 037;0,090;
июль 2020;4 840;0,090;
август 2020;4 508;0,079;
сентябрь 2020;4 373;0,066;
октябрь 2020;3 815;0,053;
ноябрь 2020;4 361;0,064;
декабрь 2020;5 182;0,079;
январь 2021;5 206;0,088;
февраль 2021;6 125;0,097;
март 2021;5 935;0,091;
апрель 2021;5 753;0,089;
май 2021;6 751;0,096;
июнь 2021;5 831;0,094;
июль 2021;5 432;0,087;
август 2021;5 962;0,083;
сентябрь 2021;6 891;0,085;
октябрь 2021;6 736;0,079;
ноябрь 2021;7 124;0,079;
декабрь 2021;8 366;0,091;
январь 2022;7 943;0,089;
февраль 2022;8 001;0,081;
март 2022;7 549;0,089;
апрель 2022;7 857;0,091;
май 2022;8 636;0,106;
июнь 2022;8 928;0,111;
июль 2022;8 278;0,104;
август 2022;6 570;0,078;
сентябрь 2022;7 146;0,079;
октябрь 2022;7 265;0,076;
ноябрь 2022;6 998;0,073;
декабрь 2022;7 923;0,082;
январь 2023;6 898;0,079;
февраль 2023;6 859;0,074;
март 2023;5 517;0,067;
апрель 2023;7 071;0,081;
май 2023;6 900;0,089;
июнь 2023;7 624;0,097;
июль 2023;7 398;0,093;
август 2023;6 615;0,080;
сентябрь 2023;6 750;0,074;
октябрь 2023;6 688;0,072;
ноябрь 2023;6 727;0,069;
декабрь 2023;8 537;0,087;
январь 2024;7 765;0,088;
февраль 2024;7 332;0,087;
март 2024;5 676;0,078;
апрель 2024;6 836;0,085;
май 2024;7 093;0,099;
июнь 2024;7 765;0,105;
июль 2024;7 999;0,106;
август 2024;7 090;0,095;
сентябрь 2024;7 186;0,086;
октябрь 2024;7 491;0,087;
ноябрь 2024;7 957;0,083;
декабрь 2024;9 433;0,102;
