Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Орловская область, все устройства
декабрь 2017;15 446;0,046;
январь 2018;12 572;0,038;
февраль 2018;13 942;0,039;
март 2018;12 245;0,038;
апрель 2018;11 075;0,034;
май 2018;11 463;0,038;
июнь 2018;11 778;0,038;
июль 2018;10 590;0,036;
август 2018;11 651;0,034;
сентябрь 2018;14 148;0,035;
октябрь 2018;12 248;0,033;
ноябрь 2018;12 273;0,034;
декабрь 2018;14 570;0,039;
январь 2019;13 820;0,038;
февраль 2019;13 347;0,035;
март 2019;10 913;0,031;
апрель 2019;10 079;0,030;
май 2019;11 258;0,037;
июнь 2019;13 787;0,044;
июль 2019;12 735;0,042;
август 2019;12 977;0,040;
сентябрь 2019;14 072;0,038;
октябрь 2019;12 028;0,032;
ноябрь 2019;14 001;0,035;
декабрь 2019;16 708;0,041;
январь 2020;14 056;0,036;
февраль 2020;14 401;0,034;
март 2020;15 805;0,030;
апрель 2020;13 677;0,028;
май 2020;13 106;0,033;
июнь 2020;12 872;0,035;
июль 2020;11 624;0,032;
август 2020;12 764;0,032;
сентябрь 2020;14 317;0,031;
октябрь 2020;14 930;0,030;
ноябрь 2020;15 949;0,033;
декабрь 2020;17 495;0,038;
январь 2021;18 364;0,041;
февраль 2021;18 296;0,037;
март 2021;18 959;0,038;
апрель 2021;16 495;0,033;
май 2021;17 528;0,037;
июнь 2021;16 590;0,038;
июль 2021;17 939;0,040;
август 2021;20 181;0,041;
сентябрь 2021;19 674;0,037;
октябрь 2021;20 541;0,037;
ноябрь 2021;23 431;0,041;
декабрь 2021;24 827;0,043;
январь 2022;21 785;0,038;
февраль 2022;26 009;0,043;
март 2022;24 238;0,041;
апрель 2022;22 021;0,040;
май 2022;20 360;0,041;
июнь 2022;20 156;0,041;
июль 2022;23 787;0,049;
август 2022;24 023;0,044;
сентябрь 2022;20 945;0,036;
октябрь 2022;21 795;0,037;
ноябрь 2022;24 921;0,042;
декабрь 2022;28 384;0,048;
январь 2023;23 467;0,043;
февраль 2023;22 419;0,038;
март 2023;19 021;0,035;
апрель 2023;18 304;0,034;
май 2023;20 454;0,041;
июнь 2023;21 125;0,044;
июль 2023;21 499;0,046;
август 2023;24 639;0,050;
сентябрь 2023;25 852;0,046;
октябрь 2023;25 531;0,046;
ноябрь 2023;23 693;0,043;
декабрь 2023;27 431;0,048;
январь 2024;24 841;0,047;
февраль 2024;22 106;0,041;
март 2024;20 064;0,040;
апрель 2024;18 925;0,038;
май 2024;18 201;0,042;
июнь 2024;20 480;0,047;
июль 2024;19 466;0,045;
август 2024;21 875;0,048;
сентябрь 2024;24 708;0,048;
октябрь 2024;22 951;0,042;
ноябрь 2024;27 169;0,049;
декабрь 2024;33 813;0,061;
