Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Ярославская область, все устройства
декабрь 2017;32 226;0,053;
январь 2018;28 277;0,047;
февраль 2018;30 028;0,045;
март 2018;27 106;0,045;
апрель 2018;24 379;0,042;
май 2018;24 223;0,044;
июнь 2018;24 741;0,045;
июль 2018;23 326;0,042;
август 2018;25 534;0,039;
сентябрь 2018;30 090;0,040;
октябрь 2018;25 931;0,038;
ноябрь 2018;24 990;0,037;
декабрь 2018;29 907;0,043;
январь 2019;27 678;0,042;
февраль 2019;25 623;0,036;
март 2019;23 736;0,036;
апрель 2019;20 580;0,032;
май 2019;20 981;0,035;
июнь 2019;25 151;0,041;
июль 2019;24 202;0,039;
август 2019;25 108;0,038;
сентябрь 2019;29 873;0,040;
октябрь 2019;24 367;0,033;
ноябрь 2019;25 770;0,035;
декабрь 2019;30 482;0,040;
январь 2020;27 009;0,037;
февраль 2020;26 317;0,033;
март 2020;31 909;0,032;
апрель 2020;26 944;0,030;
май 2020;24 282;0,034;
июнь 2020;24 326;0,035;
июль 2020;22 573;0,033;
август 2020;24 128;0,032;
сентябрь 2020;26 069;0,031;
октябрь 2020;27 861;0,032;
ноябрь 2020;27 727;0,033;
декабрь 2020;30 400;0,037;
январь 2021;32 805;0,041;
февраль 2021;32 602;0,036;
март 2021;34 697;0,038;
апрель 2021;29 247;0,032;
май 2021;32 285;0,038;
июнь 2021;28 804;0,036;
июль 2021;29 486;0,035;
август 2021;34 497;0,038;
сентябрь 2021;36 133;0,036;
октябрь 2021;37 579;0,037;
ноябрь 2021;41 838;0,040;
декабрь 2021;43 162;0,042;
январь 2022;39 299;0,039;
февраль 2022;46 530;0,041;
март 2022;42 662;0,040;
апрель 2022;39 047;0,037;
май 2022;36 882;0,039;
июнь 2022;35 437;0,039;
июль 2022;34 281;0,037;
август 2022;38 528;0,038;
сентябрь 2022;37 348;0,034;
октябрь 2022;38 166;0,035;
ноябрь 2022;42 802;0,039;
декабрь 2022;50 277;0,046;
январь 2023;41 962;0,042;
февраль 2023;41 486;0,038;
март 2023;35 911;0,036;
апрель 2023;34 862;0,035;
май 2023;35 881;0,039;
июнь 2023;37 098;0,041;
июль 2023;38 017;0,043;
август 2023;43 494;0,047;
сентябрь 2023;43 713;0,042;
октябрь 2023;42 417;0,041;
ноябрь 2023;43 225;0,042;
декабрь 2023;47 345;0,045;
январь 2024;44 525;0,045;
февраль 2024;40 503;0,039;
март 2024;38 722;0,040;
апрель 2024;34 124;0,037;
май 2024;32 160;0,039;
июнь 2024;34 862;0,043;
июль 2024;33 796;0,042;
август 2024;38 510;0,045;
сентябрь 2024;44 174;0,045;
октябрь 2024;43 230;0,043;
ноябрь 2024;49 254;0,047;
декабрь 2024;57 573;0,055;
