Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Санкт-Петербург и Ленинградская область, кроме Санкт-Петербург, все устройства
декабрь 2017;20 909;0,038;
январь 2018;19 039;0,035;
февраль 2018;21 651;0,036;
март 2018;19 387;0,035;
апрель 2018;18 254;0,034;
май 2018;19 521;0,035;
июнь 2018;19 956;0,035;
июль 2018;19 258;0,032;
август 2018;20 035;0,032;
сентябрь 2018;23 226;0,033;
октябрь 2018;21 231;0,032;
ноябрь 2018;21 622;0,033;
декабрь 2018;25 533;0,036;
январь 2019;25 818;0,037;
февраль 2019;25 893;0,034;
март 2019;22 595;0,032;
апрель 2019;20 701;0,028;
май 2019;21 502;0,031;
июнь 2019;25 598;0,035;
июль 2019;24 261;0,034;
август 2019;24 308;0,034;
сентябрь 2019;27 128;0,034;
октябрь 2019;25 178;0,032;
ноябрь 2019;27 436;0,033;
декабрь 2019;34 037;0,039;
январь 2020;29 646;0,036;
февраль 2020;30 098;0,033;
март 2020;39 245;0,032;
апрель 2020;33 307;0,029;
май 2020;30 604;0,031;
июнь 2020;31 168;0,033;
июль 2020;28 160;0,032;
август 2020;27 349;0,032;
сентябрь 2020;30 337;0,031;
октябрь 2020;31 156;0,030;
ноябрь 2020;30 505;0,031;
декабрь 2020;34 929;0,036;
январь 2021;34 274;0,038;
февраль 2021;32 654;0,033;
март 2021;39 591;0,036;
апрель 2021;41 992;0,032;
май 2021;45 146;0,035;
июнь 2021;37 743;0,035;
июль 2021;37 827;0,034;
август 2021;44 145;0,035;
сентябрь 2021;47 456;0,034;
октябрь 2021;48 212;0,033;
ноябрь 2021;52 708;0,037;
декабрь 2021;57 017;0,038;
январь 2022;54 762;0,037;
февраль 2022;61 123;0,039;
март 2022;56 485;0,038;
апрель 2022;53 618;0,035;
май 2022;50 805;0,035;
июнь 2022;54 946;0,035;
июль 2022;51 390;0,034;
август 2022;54 370;0,035;
сентябрь 2022;53 173;0,033;
октябрь 2022;53 011;0,033;
ноябрь 2022;55 455;0,035;
декабрь 2022;63 952;0,040;
январь 2023;55 273;0,038;
февраль 2023;56 506;0,035;
март 2023;51 636;0,035;
апрель 2023;48 627;0,032;
май 2023;51 982;0,036;
июнь 2023;57 269;0,037;
июль 2023;57 039;0,037;
август 2023;57 673;0,039;
сентябрь 2023;57 165;0,037;
октябрь 2023;56 991;0,038;
ноябрь 2023;56 003;0,037;
декабрь 2023;62 076;0,039;
январь 2024;58 115;0,040;
февраль 2024;53 710;0,036;
март 2024;52 644;0,036;
апрель 2024;49 054;0,034;
май 2024;49 520;0,035;
июнь 2024;53 478;0,036;
июль 2024;52 410;0,036;
август 2024;52 457;0,038;
сентябрь 2024;59 698;0,040;
октябрь 2024;59 076;0,038;
ноябрь 2024;66 005;0,041;
декабрь 2024;77 286;0,047;
