Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Мурманская область, все устройства
декабрь 2017;22 608;0,062;
январь 2018;17 339;0,049;
февраль 2018;17 677;0,046;
март 2018;17 201;0,048;
апрель 2018;16 549;0,048;
май 2018;14 287;0,048;
июнь 2018;12 740;0,047;
июль 2018;12 425;0,043;
август 2018;14 250;0,040;
сентябрь 2018;16 554;0,041;
октябрь 2018;14 853;0,040;
ноябрь 2018;14 954;0,042;
декабрь 2018;16 194;0,043;
январь 2019;14 784;0,042;
февраль 2019;13 979;0,038;
март 2019;13 217;0,037;
апрель 2019;12 261;0,036;
май 2019;12 055;0,041;
июнь 2019;13 926;0,051;
июль 2019;14 068;0,050;
август 2019;16 619;0,050;
сентябрь 2019;18 699;0,049;
октябрь 2019;15 477;0,040;
ноябрь 2019;16 538;0,042;
декабрь 2019;17 799;0,042;
январь 2020;15 706;0,039;
февраль 2020;15 678;0,035;
март 2020;18 416;0,031;
апрель 2020;16 565;0,032;
май 2020;13 963;0,036;
июнь 2020;13 025;0,039;
июль 2020;13 960;0,042;
август 2020;14 907;0,038;
сентябрь 2020;16 014;0,035;
октябрь 2020;16 628;0,035;
ноябрь 2020;17 610;0,038;
декабрь 2020;18 585;0,041;
январь 2021;19 271;0,046;
февраль 2021;17 600;0,038;
март 2021;21 605;0,044;
апрель 2021;20 182;0,039;
май 2021;18 493;0,043;
июнь 2021;14 658;0,041;
июль 2021;16 759;0,045;
август 2021;23 113;0,049;
сентябрь 2021;23 617;0,045;
октябрь 2021;22 661;0,042;
ноябрь 2021;26 985;0,049;
декабрь 2021;26 647;0,047;
январь 2022;23 305;0,043;
февраль 2022;29 303;0,049;
март 2022;30 435;0,053;
апрель 2022;27 410;0,049;
май 2022;26 548;0,057;
июнь 2022;21 560;0,050;
июль 2022;20 391;0,048;
август 2022;25 109;0,048;
сентябрь 2022;24 400;0,042;
октябрь 2022;26 730;0,046;
ноябрь 2022;28 817;0,049;
декабрь 2022;27 973;0,048;
январь 2023;23 400;0,043;
февраль 2023;24 938;0,042;
март 2023;22 768;0,040;
апрель 2023;21 616;0,040;
май 2023;22 281;0,050;
июнь 2023;20 230;0,049;
июль 2023;20 612;0,051;
август 2023;28 273;0,059;
сентябрь 2023;28 483;0,053;
октябрь 2023;27 274;0,051;
ноябрь 2023;26 301;0,048;
декабрь 2023;28 942;0,052;
январь 2024;25 322;0,049;
февраль 2024;23 528;0,043;
март 2024;23 707;0,045;
апрель 2024;21 583;0,044;
май 2024;18 874;0,047;
июнь 2024;18 862;0,051;
июль 2024;19 145;0,051;
август 2024;25 934;0,059;
сентябрь 2024;28 023;0,055;
октябрь 2024;25 957;0,050;
ноябрь 2024;31 017;0,057;
декабрь 2024;36 328;0,068;
