Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Республика Карелия, все устройства
декабрь 2017;18 926;0,071;
январь 2018;14 952;0,056;
февраль 2018;13 188;0,046;
март 2018;11 305;0,043;
апрель 2018;9 696;0,041;
май 2018;9 271;0,043;
июнь 2018;8 897;0,042;
июль 2018;8 706;0,038;
август 2018;9 305;0,035;
сентябрь 2018;11 522;0,037;
октябрь 2018;9 849;0,035;
ноябрь 2018;10 791;0,037;
декабрь 2018;12 070;0,039;
январь 2019;11 746;0,040;
февраль 2019;11 023;0,035;
март 2019;10 659;0,036;
апрель 2019;9 109;0,032;
май 2019;8 717;0,037;
июнь 2019;9 979;0,043;
июль 2019;9 672;0,043;
август 2019;10 393;0,043;
сентябрь 2019;11 389;0,040;
октябрь 2019;9 722;0,034;
ноябрь 2019;10 778;0,037;
декабрь 2019;13 275;0,044;
январь 2020;11 139;0,038;
февраль 2020;11 293;0,036;
март 2020;13 297;0,032;
апрель 2020;10 611;0,031;
май 2020;9 463;0,034;
июнь 2020;9 763;0,036;
июль 2020;9 084;0,035;
август 2020;10 024;0,034;
сентябрь 2020;11 254;0,033;
октябрь 2020;11 473;0,030;
ноябрь 2020;12 701;0,033;
декабрь 2020;13 889;0,039;
январь 2021;13 270;0,042;
февраль 2021;12 729;0,037;
март 2021;13 613;0,037;
апрель 2021;13 610;0,036;
май 2021;13 582;0,040;
июнь 2021;12 003;0,041;
июль 2021;12 176;0,039;
август 2021;15 675;0,043;
сентябрь 2021;16 885;0,041;
октябрь 2021;16 610;0,040;
ноябрь 2021;18 863;0,045;
декабрь 2021;20 087;0,047;
январь 2022;17 386;0,042;
февраль 2022;20 090;0,045;
март 2022;21 133;0,049;
апрель 2022;18 626;0,044;
май 2022;16 435;0,044;
июнь 2022;16 860;0,046;
июль 2022;16 358;0,044;
август 2022;18 849;0,046;
сентябрь 2022;17 927;0,041;
октябрь 2022;17 078;0,039;
ноябрь 2022;19 696;0,045;
декабрь 2022;21 244;0,049;
январь 2023;17 951;0,045;
февраль 2023;17 738;0,040;
март 2023;15 951;0,038;
апрель 2023;14 474;0,036;
май 2023;15 433;0,043;
июнь 2023;16 442;0,044;
июль 2023;16 359;0,046;
август 2023;19 034;0,050;
сентябрь 2023;21 235;0,051;
октябрь 2023;19 404;0,047;
ноябрь 2023;20 030;0,048;
декабрь 2023;21 720;0,051;
январь 2024;18 850;0,047;
февраль 2024;16 645;0,040;
март 2024;16 527;0,041;
апрель 2024;14 638;0,039;
май 2024;13 876;0,042;
июнь 2024;14 950;0,045;
июль 2024;14 995;0,045;
август 2024;16 906;0,049;
сентябрь 2024;19 786;0,051;
октябрь 2024;18 865;0,046;
ноябрь 2024;21 968;0,052;
декабрь 2024;25 731;0,062;
