Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Ульяновская область, все устройства
декабрь 2017;24 238;0,050;
январь 2018;19 642;0,042;
февраль 2018;18 816;0,037;
март 2018;16 679;0,036;
апрель 2018;15 166;0,035;
май 2018;15 450;0,038;
июнь 2018;17 258;0,043;
июль 2018;15 072;0,037;
август 2018;16 076;0,034;
сентябрь 2018;18 545;0,034;
октябрь 2018;17 251;0,035;
ноябрь 2018;16 657;0,033;
декабрь 2018;20 077;0,039;
январь 2019;18 453;0,038;
февраль 2019;17 526;0,033;
март 2019;15 475;0,032;
апрель 2019;13 112;0,029;
май 2019;14 177;0,035;
июнь 2019;17 167;0,042;
июль 2019;16 358;0,040;
август 2019;17 322;0,039;
сентябрь 2019;20 271;0,039;
октябрь 2019;17 294;0,033;
ноябрь 2019;19 426;0,035;
декабрь 2019;23 967;0,041;
январь 2020;21 055;0,037;
февраль 2020;20 845;0,034;
март 2020;24 200;0,032;
апрель 2020;19 201;0,031;
май 2020;18 241;0,032;
июнь 2020;17 271;0,035;
июль 2020;17 029;0,033;
август 2020;18 875;0,031;
сентябрь 2020;20 873;0,031;
октябрь 2020;22 170;0,030;
ноябрь 2020;24 178;0,034;
декабрь 2020;25 912;0,038;
январь 2021;25 575;0,040;
февраль 2021;24 626;0,035;
март 2021;25 349;0,038;
апрель 2021;20 780;0,032;
май 2021;23 336;0,038;
июнь 2021;22 677;0,040;
июль 2021;23 513;0,040;
август 2021;28 668;0,042;
сентябрь 2021;28 420;0,039;
октябрь 2021;29 513;0,039;
ноябрь 2021;32 333;0,041;
декабрь 2021;34 668;0,045;
январь 2022;30 547;0,038;
февраль 2022;34 796;0,041;
март 2022;33 559;0,043;
апрель 2022;30 259;0,039;
май 2022;27 755;0,041;
июнь 2022;28 831;0,043;
июль 2022;26 930;0,041;
август 2022;29 952;0,040;
сентябрь 2022;29 795;0,037;
октябрь 2022;29 665;0,036;
ноябрь 2022;33 749;0,040;
декабрь 2022;36 979;0,044;
январь 2023;31 966;0,042;
февраль 2023;30 652;0,037;
март 2023;26 576;0,036;
апрель 2023;25 814;0,035;
май 2023;27 724;0,041;
июнь 2023;29 236;0,045;
июль 2023;30 533;0,047;
август 2023;32 696;0,047;
сентябрь 2023;33 958;0,043;
октябрь 2023;33 605;0,043;
ноябрь 2023;33 011;0,042;
декабрь 2023;35 746;0,045;
январь 2024;33 247;0,046;
февраль 2024;30 713;0,040;
март 2024;27 955;0,040;
апрель 2024;26 300;0,038;
май 2024;24 044;0,039;
июнь 2024;28 060;0,046;
июль 2024;27 973;0,046;
август 2024;30 094;0,047;
сентябрь 2024;34 847;0,047;
октябрь 2024;33 973;0,044;
ноябрь 2024;38 105;0,048;
декабрь 2024;42 419;0,053;
