Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Белгородская область, все устройства
декабрь 2017;25 855;0,038;
январь 2018;23 367;0,034;
февраль 2018;25 105;0,034;
март 2018;20 424;0,032;
апрель 2018;20 588;0,032;
май 2018;20 176;0,034;
июнь 2018;21 348;0,035;
июль 2018;19 501;0,033;
август 2018;20 835;0,030;
сентябрь 2018;23 895;0,030;
октябрь 2018;21 390;0,030;
ноябрь 2018;26 480;0,036;
декабрь 2018;26 213;0,036;
январь 2019;24 768;0,035;
февраль 2019;23 015;0,031;
март 2019;20 357;0,030;
апрель 2019;17 919;0,027;
май 2019;19 231;0,032;
июнь 2019;23 512;0,039;
июль 2019;23 050;0,039;
август 2019;22 382;0,035;
сентябрь 2019;25 408;0,035;
октябрь 2019;23 497;0,032;
ноябрь 2019;24 634;0,032;
декабрь 2019;29 481;0,037;
январь 2020;24 331;0,032;
февраль 2020;24 402;0,030;
март 2020;27 531;0,025;
апрель 2020;26 161;0,025;
май 2020;23 758;0,031;
июнь 2020;23 470;0,033;
июль 2020;23 123;0,033;
август 2020;23 531;0,031;
сентябрь 2020;25 343;0,029;
октябрь 2020;27 316;0,029;
ноябрь 2020;30 548;0,033;
декабрь 2020;31 996;0,036;
январь 2021;34 139;0,038;
февраль 2021;32 939;0,033;
март 2021;34 053;0,034;
апрель 2021;30 218;0,030;
май 2021;34 575;0,037;
июнь 2021;34 637;0,040;
июль 2021;35 285;0,040;
август 2021;39 196;0,040;
сентябрь 2021;38 575;0,036;
октябрь 2021;38 001;0,034;
ноябрь 2021;44 236;0,039;
декабрь 2021;47 126;0,042;
январь 2022;38 882;0,035;
февраль 2022;43 302;0,036;
март 2022;40 673;0,036;
апрель 2022;39 565;0,035;
май 2022;37 979;0,038;
июнь 2022;37 901;0,039;
июль 2022;35 335;0,036;
август 2022;37 593;0,034;
сентябрь 2022;37 887;0,031;
октябрь 2022;41 010;0,031;
ноябрь 2022;47 389;0,035;
декабрь 2022;52 444;0,041;
январь 2023;43 451;0,036;
февраль 2023;41 429;0,032;
март 2023;38 856;0,032;
апрель 2023;36 215;0,030;
май 2023;36 841;0,038;
июнь 2023;37 984;0,040;
июль 2023;38 707;0,041;
август 2023;42 856;0,042;
сентябрь 2023;44 162;0,038;
октябрь 2023;44 964;0,039;
ноябрь 2023;45 148;0,038;
декабрь 2023;48 070;0,041;
январь 2024;43 795;0,038;
февраль 2024;37 127;0,034;
март 2024;34 568;0,033;
апрель 2024;32 389;0,031;
май 2024;31 762;0,037;
июнь 2024;34 664;0,041;
июль 2024;33 121;0,039;
август 2024;37 326;0,040;
сентябрь 2024;44 781;0,042;
октябрь 2024;44 420;0,040;
ноябрь 2024;50 062;0,043;
декабрь 2024;55 853;0,049;
