Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Омская область, все устройства
декабрь 2017;73 628;0,095;
январь 2018;68 448;0,092;
февраль 2018;64 948;0,082;
март 2018;58 031;0,079;
апрель 2018;57 992;0,077;
май 2018;49 578;0,076;
июнь 2018;51 715;0,082;
июль 2018;55 104;0,081;
август 2018;58 965;0,078;
сентябрь 2018;70 246;0,080;
октябрь 2018;62 362;0,077;
ноябрь 2018;52 687;0,064;
декабрь 2018;72 011;0,088;
январь 2019;61 276;0,074;
февраль 2019;58 882;0,070;
март 2019;51 001;0,064;
апрель 2019;41 473;0,055;
май 2019;44 993;0,064;
июнь 2019;53 620;0,084;
июль 2019;53 029;0,078;
август 2019;56 114;0,073;
сентябрь 2019;65 292;0,074;
октябрь 2019;58 023;0,064;
ноябрь 2019;52 702;0,057;
декабрь 2019;70 951;0,076;
январь 2020;62 568;0,070;
февраль 2020;58 268;0,060;
март 2020;50 947;0,041;
апрель 2020;49 646;0,046;
май 2020;51 664;0,056;
июнь 2020;49 983;0,060;
июль 2020;45 642;0,056;
август 2020;47 889;0,051;
сентябрь 2020;50 674;0,046;
октябрь 2020;52 468;0,047;
ноябрь 2020;50 540;0,045;
декабрь 2020;60 932;0,058;
январь 2021;61 607;0,060;
февраль 2021;62 891;0,057;
март 2021;58 268;0,054;
апрель 2021;48 741;0,048;
май 2021;54 417;0,054;
июнь 2021;55 173;0,057;
июль 2021;55 204;0,058;
август 2021;66 879;0,063;
сентябрь 2021;60 734;0,053;
октябрь 2021;57 752;0,049;
ноябрь 2021;59 574;0,048;
декабрь 2021;71 213;0,059;
январь 2022;66 892;0,054;
февраль 2022;78 416;0,060;
март 2022;71 479;0,059;
апрель 2022;63 185;0,054;
май 2022;66 025;0,061;
июнь 2022;63 172;0,062;
июль 2022;63 384;0,063;
август 2022;62 739;0,055;
сентябрь 2022;60 438;0,048;
октябрь 2022;61 503;0,048;
ноябрь 2022;61 660;0,047;
декабрь 2022;69 065;0,054;
январь 2023;60 938;0,051;
февраль 2023;64 620;0,049;
март 2023;57 405;0,047;
апрель 2023;51 869;0,045;
май 2023;55 138;0,052;
июнь 2023;58 494;0,059;
июль 2023;60 287;0,058;
август 2023;63 574;0,058;
сентябрь 2023;64 831;0,053;
октябрь 2023;64 046;0,053;
ноябрь 2023;57 320;0,046;
декабрь 2023;72 121;0,059;
январь 2024;62 169;0,053;
февраль 2024;61 245;0,050;
март 2024;55 736;0,050;
апрель 2024;51 954;0,048;
май 2024;46 011;0,049;
июнь 2024;53 049;0,059;
июль 2024;49 026;0,054;
август 2024;53 277;0,054;
сентябрь 2024;59 762;0,052;
октябрь 2024;59 231;0,051;
ноябрь 2024;64 883;0,053;
декабрь 2024;78 925;0,065;
