Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Томская область, все устройства
декабрь 2017;22 257;0,055;
январь 2018;20 980;0,053;
февраль 2018;20 448;0,048;
март 2018;19 002;0,048;
апрель 2018;18 747;0,045;
май 2018;15 368;0,045;
июнь 2018;16 118;0,048;
июль 2018;16 397;0,047;
август 2018;16 732;0,041;
сентябрь 2018;21 343;0,045;
октябрь 2018;18 619;0,043;
ноябрь 2018;17 238;0,039;
декабрь 2018;20 547;0,048;
январь 2019;18 272;0,043;
февраль 2019;17 551;0,040;
март 2019;17 321;0,040;
апрель 2019;15 239;0,037;
май 2019;15 218;0,042;
июнь 2019;15 642;0,048;
июль 2019;15 664;0,048;
август 2019;16 564;0,044;
сентябрь 2019;19 244;0,045;
октябрь 2019;17 940;0,041;
ноябрь 2019;18 562;0,040;
декабрь 2019;21 129;0,045;
январь 2020;19 230;0,042;
февраль 2020;19 875;0,040;
март 2020;21 007;0,034;
апрель 2020;18 998;0,035;
май 2020;17 856;0,039;
июнь 2020;16 617;0,041;
июль 2020;15 803;0,040;
август 2020;17 522;0,037;
сентябрь 2020;19 133;0,034;
октябрь 2020;19 626;0,034;
ноябрь 2020;19 126;0,034;
декабрь 2020;21 213;0,040;
январь 2021;23 334;0,047;
февраль 2021;21 554;0,039;
март 2021;22 679;0,040;
апрель 2021;19 782;0,036;
май 2021;23 352;0,044;
июнь 2021;20 834;0,045;
июль 2021;21 403;0,045;
август 2021;23 496;0,044;
сентябрь 2021;23 747;0,040;
октябрь 2021;23 656;0,040;
ноябрь 2021;27 168;0,042;
декабрь 2021;27 897;0,045;
январь 2022;26 055;0,042;
февраль 2022;31 861;0,047;
март 2022;29 262;0,045;
апрель 2022;26 425;0,043;
май 2022;27 272;0,047;
июнь 2022;25 319;0,049;
июль 2022;22 248;0,042;
август 2022;23 681;0,040;
сентябрь 2022;24 174;0,036;
октябрь 2022;25 276;0,037;
ноябрь 2022;26 804;0,038;
декабрь 2022;29 644;0,044;
январь 2023;26 061;0,042;
февраль 2023;25 067;0,037;
март 2023;24 997;0,037;
апрель 2023;22 780;0,036;
май 2023;23 607;0,042;
июнь 2023;24 468;0,048;
июль 2023;24 648;0,048;
август 2023;26 049;0,045;
сентябрь 2023;27 618;0,042;
октябрь 2023;26 815;0,042;
ноябрь 2023;25 253;0,038;
декабрь 2023;27 826;0,044;
январь 2024;26 210;0,043;
февраль 2024;24 368;0,039;
март 2024;24 104;0,039;
апрель 2024;23 020;0,039;
май 2024;19 740;0,039;
июнь 2024;22 347;0,047;
июль 2024;20 378;0,043;
август 2024;23 554;0,045;
сентябрь 2024;27 164;0,044;
октябрь 2024;27 137;0,043;
ноябрь 2024;29 841;0,046;
декабрь 2024;32 121;0,052;
