Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Владимирская область, все устройства
декабрь 2017;27 915;0,045;
январь 2018;23 877;0,040;
февраль 2018;25 625;0,039;
март 2018;22 708;0,039;
апрель 2018;21 240;0,037;
май 2018;21 098;0,039;
июнь 2018;21 730;0,039;
июль 2018;20 281;0,035;
август 2018;21 482;0,034;
сентябрь 2018;25 461;0,035;
октябрь 2018;23 821;0,036;
ноябрь 2018;22 896;0,035;
декабрь 2018;26 247;0,038;
январь 2019;25 146;0,039;
февраль 2019;23 783;0,034;
март 2019;20 870;0,033;
апрель 2019;18 466;0,030;
май 2019;19 384;0,034;
июнь 2019;23 065;0,039;
июль 2019;22 742;0,038;
август 2019;22 704;0,037;
сентябрь 2019;25 635;0,037;
октябрь 2019;22 918;0,033;
ноябрь 2019;24 089;0,033;
декабрь 2019;29 697;0,039;
январь 2020;25 650;0,035;
февраль 2020;27 155;0,033;
март 2020;34 301;0,030;
апрель 2020;29 335;0,029;
май 2020;26 581;0,033;
июнь 2020;24 733;0,033;
июль 2020;23 907;0,033;
август 2020;25 216;0,032;
сентябрь 2020;27 747;0,030;
октябрь 2020;28 582;0,030;
ноябрь 2020;29 531;0,032;
декабрь 2020;33 295;0,036;
январь 2021;33 923;0,039;
февраль 2021;34 346;0,035;
март 2021;35 995;0,037;
апрель 2021;29 219;0,031;
май 2021;33 204;0,037;
июнь 2021;31 785;0,036;
июль 2021;34 283;0,037;
август 2021;35 679;0,038;
сентябрь 2021;35 606;0,036;
октябрь 2021;36 297;0,036;
ноябрь 2021;39 345;0,039;
декабрь 2021;43 708;0,042;
январь 2022;39 593;0,039;
февраль 2022;48 291;0,044;
март 2022;44 768;0,043;
апрель 2022;40 594;0,039;
май 2022;36 941;0,039;
июнь 2022;37 764;0,040;
июль 2022;37 515;0,039;
август 2022;42 027;0,041;
сентябрь 2022;38 649;0,036;
октябрь 2022;38 863;0,036;
ноябрь 2022;43 505;0,040;
декабрь 2022;50 329;0,046;
январь 2023;42 491;0,043;
февраль 2023;41 134;0,038;
март 2023;35 938;0,036;
апрель 2023;36 609;0,036;
май 2023;39 022;0,039;
июнь 2023;42 349;0,040;
июль 2023;42 074;0,041;
август 2023;45 408;0,043;
сентябрь 2023;47 142;0,040;
октябрь 2023;46 071;0,040;
ноябрь 2023;45 815;0,040;
декабрь 2023;52 985;0,044;
январь 2024;47 615;0,044;
февраль 2024;42 788;0,039;
март 2024;39 369;0,039;
апрель 2024;35 867;0,037;
май 2024;34 638;0,039;
июнь 2024;38 857;0,042;
июль 2024;37 311;0,040;
август 2024;40 007;0,043;
сентябрь 2024;45 090;0,044;
октябрь 2024;44 545;0,041;
ноябрь 2024;50 076;0,045;
декабрь 2024;57 963;0,052;
