Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Республика Ингушетия, все устройства
декабрь 2017;2 504;0,062;
январь 2018;1 940;0,048;
февраль 2018;1 789;0,041;
март 2018;1 592;0,041;
апрель 2018;1 455;0,038;
май 2018;1 324;0,039;
июнь 2018;1 540;0,039;
июль 2018;1 322;0,033;
август 2018;1 215;0,030;
сентябрь 2018;1 319;0,029;
октябрь 2018;1 435;0,031;
ноябрь 2018;1 517;0,031;
декабрь 2018;1 699;0,033;
январь 2019;1 538;0,032;
февраль 2019;1 319;0,026;
март 2019;1 416;0,029;
апрель 2019;1 191;0,026;
май 2019;1 221;0,029;
июнь 2019;2 134;0,048;
июль 2019;1 987;0,046;
август 2019;2 029;0,045;
сентябрь 2019;2 107;0,042;
октябрь 2019;1 726;0,033;
ноябрь 2019;2 298;0,038;
декабрь 2019;2 604;0,042;
январь 2020;2 170;0,038;
февраль 2020;2 172;0,035;
март 2020;1 841;0,024;
апрель 2020;1 780;0,025;
май 2020;1 790;0,030;
июнь 2020;1 902;0,034;
июль 2020;1 824;0,033;
август 2020;1 904;0,033;
сентябрь 2020;1 928;0,029;
октябрь 2020;1 864;0,026;
ноябрь 2020;2 287;0,033;
декабрь 2020;2 150;0,033;
январь 2021;2 326;0,039;
февраль 2021;2 061;0,032;
март 2021;2 243;0,034;
апрель 2021;1 899;0,029;
май 2021;2 563;0,036;
июнь 2021;2 383;0,038;
июль 2021;2 613;0,042;
август 2021;3 115;0,043;
сентябрь 2021;3 326;0,041;
октябрь 2021;3 288;0,038;
ноябрь 2021;4 283;0,047;
декабрь 2021;3 943;0,043;
январь 2022;3 297;0,037;
февраль 2022;4 243;0,043;
март 2022;3 502;0,041;
апрель 2022;3 230;0,037;
май 2022;3 271;0,040;
июнь 2022;3 174;0,039;
июль 2022;3 233;0,040;
август 2022;3 192;0,038;
сентябрь 2022;3 284;0,036;
октябрь 2022;3 114;0,032;
ноябрь 2022;4 015;0,041;
декабрь 2022;3 993;0,041;
январь 2023;3 459;0,039;
февраль 2023;3 323;0,035;
март 2023;2 489;0,030;
апрель 2023;3 193;0,036;
май 2023;2 981;0,038;
июнь 2023;3 673;0,046;
июль 2023;3 853;0,048;
август 2023;4 141;0,050;
сентябрь 2023;4 584;0,050;
октябрь 2023;4 040;0,043;
ноябрь 2023;4 951;0,051;
декабрь 2023;4 974;0,051;
январь 2024;3 656;0,041;
февраль 2024;3 298;0,039;
март 2024;2 593;0,035;
апрель 2024;3 056;0,038;
май 2024;2 823;0,039;
июнь 2024;3 365;0,045;
июль 2024;3 602;0,048;
август 2024;3 600;0,048;
сентябрь 2024;3 835;0,046;
октябрь 2024;3 647;0,042;
ноябрь 2024;4 601;0,048;
декабрь 2024;5 133;0,056;
