Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Тюменская область, все устройства
декабрь 2017;58 392;0,080;
январь 2018;54 955;0,077;
февраль 2018;55 141;0,073;
март 2018;50 427;0,072;
апрель 2018;47 116;0,066;
май 2018;43 476;0,068;
июнь 2018;45 571;0,074;
июль 2018;45 420;0,072;
август 2018;52 796;0,070;
сентябрь 2018;59 430;0,070;
октябрь 2018;52 401;0,068;
ноябрь 2018;44 558;0,057;
декабрь 2018;59 445;0,077;
январь 2019;53 644;0,067;
февраль 2019;49 364;0,063;
март 2019;45 996;0,060;
апрель 2019;35 852;0,050;
май 2019;37 455;0,057;
июнь 2019;44 668;0,072;
июль 2019;45 545;0,072;
август 2019;45 722;0,063;
сентябрь 2019;52 738;0,066;
октябрь 2019;46 675;0,056;
ноябрь 2019;43 501;0,051;
декабрь 2019;58 230;0,066;
январь 2020;53 352;0,061;
февраль 2020;50 935;0,054;
март 2020;46 550;0,041;
апрель 2020;41 261;0,044;
май 2020;44 967;0,053;
июнь 2020;40 925;0,053;
июль 2020;42 178;0,055;
август 2020;42 010;0,048;
сентябрь 2020;46 657;0,046;
октябрь 2020;45 161;0,040;
ноябрь 2020;45 603;0,042;
декабрь 2020;53 857;0,053;
январь 2021;55 608;0,058;
февраль 2021;53 185;0,052;
март 2021;51 617;0,050;
апрель 2021;45 319;0,046;
май 2021;53 429;0,055;
июнь 2021;52 815;0,056;
июль 2021;50 576;0,055;
август 2021;53 486;0,052;
сентябрь 2021;51 066;0,045;
октябрь 2021;52 143;0,042;
ноябрь 2021;55 965;0,047;
декабрь 2021;64 707;0,055;
январь 2022;59 944;0,048;
февраль 2022;70 651;0,055;
март 2022;63 307;0,052;
апрель 2022;57 433;0,048;
май 2022;56 830;0,053;
июнь 2022;58 307;0,057;
июль 2022;55 376;0,054;
август 2022;55 345;0,047;
сентябрь 2022;52 449;0,041;
октябрь 2022;55 479;0,043;
ноябрь 2022;55 676;0,041;
декабрь 2022;62 869;0,049;
январь 2023;55 066;0,046;
февраль 2023;54 466;0,042;
март 2023;49 914;0,040;
апрель 2023;45 925;0,039;
май 2023;52 101;0,049;
июнь 2023;55 720;0,054;
июль 2023;54 135;0,052;
август 2023;57 453;0,050;
сентябрь 2023;56 874;0,045;
октябрь 2023;55 247;0,044;
ноябрь 2023;52 629;0,040;
декабрь 2023;63 461;0,051;
январь 2024;56 435;0,046;
февраль 2024;54 264;0,044;
март 2024;48 932;0,041;
апрель 2024;48 712;0,042;
май 2024;44 063;0,045;
июнь 2024;50 207;0,052;
июль 2024;48 473;0,050;
август 2024;49 933;0,047;
сентябрь 2024;56 229;0,046;
октябрь 2024;53 705;0,043;
ноябрь 2024;58 087;0,045;
декабрь 2024;67 319;0,054;
