Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Ханты-Мансийский автономный округ - Югра, все устройства
декабрь 2017;33 993;0,046;
январь 2018;31 639;0,043;
февраль 2018;33 032;0,043;
март 2018;31 688;0,044;
апрель 2018;32 619;0,045;
май 2018;27 750;0,047;
июнь 2018;26 697;0,049;
июль 2018;26 422;0,047;
август 2018;30 488;0,044;
сентябрь 2018;34 635;0,042;
октябрь 2018;32 312;0,042;
ноябрь 2018;30 914;0,040;
декабрь 2018;36 524;0,046;
январь 2019;34 852;0,044;
февраль 2019;33 265;0,042;
март 2019;31 672;0,041;
апрель 2019;29 201;0,040;
май 2019;25 368;0,043;
июнь 2019;26 483;0,049;
июль 2019;26 323;0,048;
август 2019;30 556;0,046;
сентябрь 2019;34 877;0,044;
октябрь 2019;31 713;0,039;
ноябрь 2019;32 596;0,039;
декабрь 2019;40 975;0,047;
январь 2020;35 435;0,041;
февраль 2020;35 192;0,038;
март 2020;38 794;0,032;
апрель 2020;35 397;0,033;
май 2020;32 226;0,038;
июнь 2020;29 114;0,041;
июль 2020;28 341;0,040;
август 2020;32 263;0,037;
сентябрь 2020;38 231;0,036;
октябрь 2020;39 679;0,034;
ноябрь 2020;40 641;0,037;
декабрь 2020;42 922;0,041;
январь 2021;42 091;0,043;
февраль 2021;38 321;0,039;
март 2021;42 962;0,042;
апрель 2021;39 445;0,040;
май 2021;44 681;0,051;
июнь 2021;34 942;0,045;
июль 2021;35 922;0,046;
август 2021;44 318;0,046;
сентябрь 2021;45 937;0,042;
октябрь 2021;47 115;0,042;
ноябрь 2021;52 593;0,044;
декабрь 2021;54 324;0,046;
январь 2022;50 420;0,043;
февраль 2022;57 710;0,047;
март 2022;56 694;0,049;
апрель 2022;49 043;0,044;
май 2022;56 156;0,057;
июнь 2022;51 390;0,059;
июль 2022;42 579;0,046;
август 2022;48 215;0,044;
сентябрь 2022;47 584;0,040;
октябрь 2022;49 861;0,040;
ноябрь 2022;52 137;0,040;
декабрь 2022;54 741;0,044;
январь 2023;48 098;0,042;
февраль 2023;50 507;0,041;
март 2023;49 228;0,041;
апрель 2023;45 549;0,041;
май 2023;47 403;0,050;
июнь 2023;53 179;0,063;
июль 2023;44 853;0,052;
август 2023;53 493;0,053;
сентябрь 2023;56 052;0,048;
октябрь 2023;55 333;0,048;
ноябрь 2023;54 801;0,044;
декабрь 2023;59 282;0,050;
январь 2024;53 370;0,047;
февраль 2024;50 782;0,043;
март 2024;49 159;0,043;
апрель 2024;47 721;0,044;
май 2024;38 667;0,046;
июнь 2024;40 781;0,052;
июль 2024;39 196;0,050;
август 2024;44 486;0,048;
сентябрь 2024;52 574;0,048;
октябрь 2024;53 306;0,046;
ноябрь 2024;58 700;0,049;
декабрь 2024;61 337;0,053;
