Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Тверская область, все устройства
декабрь 2017;812;0,00154;
январь 2018;757;0,00146;
февраль 2018;914;0,00161;
март 2018;830;0,00164;
апрель 2018;883;0,00182;
май 2018;854;0,00182;
июнь 2018;983;0,00205;
июль 2018;1 085;0,00225;
август 2018;990;0,00183;
сентябрь 2018;1 037;0,00168;
октябрь 2018;880;0,00157;
ноябрь 2018;1 167;0,00211;
декабрь 2018;1 170;0,00202;
январь 2019;1 096;0,00200;
февраль 2019;1 268;0,00217;
март 2019;1 164;0,00217;
апрель 2019;1 017;0,00198;
май 2019;1 175;0,00246;
июнь 2019;1 139;0,00229;
июль 2019;998;0,00205;
август 2019;994;0,00196;
сентябрь 2019;1 033;0,00179;
октябрь 2019;920;0,00157;
ноябрь 2019;1 383;0,00226;
декабрь 2019;958;0,00152;
январь 2020;761;0,00126;
февраль 2020;1 067;0,00163;
март 2020;974;0,00113;
апрель 2020;1 209;0,00155;
май 2020;1 073;0,00174;
июнь 2020;987;0,00164;
июль 2020;920;0,00158;
август 2020;843;0,00136;
сентябрь 2020;962;0,00137;
октябрь 2020;968;0,00129;
ноябрь 2020;1 215;0,00168;
декабрь 2020;741;0,00104;
январь 2021;828;0,00119;
февраль 2021;1 015;0,00133;
март 2021;1 052;0,00135;
апрель 2021;1 055;0,00135;
май 2021;1 034;0,00138;
июнь 2021;1 114;0,00157;
июль 2021;968;0,00131;
август 2021;961;0,00121;
сентябрь 2021;1 223;0,00144;
октябрь 2021;1 242;0,00143;
ноябрь 2021;1 325;0,00151;
декабрь 2021;1 402;0,00155;
январь 2022;1 364;0,00155;
февраль 2022;3 073;0,00319;
март 2022;3 231;0,00349;
апрель 2022;3 134;0,00349;
май 2022;2 633;0,00324;
июнь 2022;2 848;0,00344;
июль 2022;2 388;0,00288;
август 2022;2 255;0,00254;
сентябрь 2022;2 312;0,00243;
октябрь 2022;2 164;0,00228;
ноябрь 2022;1 948;0,00207;
декабрь 2022;1 664;0,00174;
январь 2023;1 732;0,00197;
февраль 2023;2 364;0,00247;
март 2023;1 466;0,00166;
апрель 2023;1 443;0,00164;
май 2023;1 334;0,00164;
июнь 2023;1 452;0,00175;
июль 2023;1 369;0,00167;
август 2023;1 175;0,00142;
сентябрь 2023;1 190;0,00129;
октябрь 2023;1 018;0,00113;
ноябрь 2023;1 095;0,00122;
декабрь 2023;1 042;0,00112;
январь 2024;1 007;0,00116;
февраль 2024;1 195;0,00135;
март 2024;1 102;0,00131;
апрель 2024;984;0,00121;
май 2024;1 070;0,00146;
июнь 2024;961;0,00126;
июль 2024;1 002;0,00133;
август 2024;886;0,00115;
сентябрь 2024;890;0,00103;
октябрь 2024;779;0,00089;
ноябрь 2024;1 235;0,00138;
декабрь 2024;1 033;0,00113;
