Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Тульская область, все устройства
декабрь 2017;1 083;0,00162;
январь 2018;1 181;0,00179;
февраль 2018;1 189;0,00165;
март 2018;1 208;0,00186;
апрель 2018;1 113;0,00177;
май 2018;1 081;0,00184;
июнь 2018;1 222;0,00203;
июль 2018;1 339;0,00230;
август 2018;1 491;0,00217;
сентябрь 2018;1 423;0,00177;
октябрь 2018;1 220;0,00167;
ноябрь 2018;1 414;0,00196;
декабрь 2018;1 306;0,00173;
январь 2019;1 297;0,00179;
февраль 2019;1 598;0,00208;
март 2019;1 525;0,00214;
апрель 2019;1 443;0,00216;
май 2019;1 604;0,00265;
июнь 2019;1 369;0,00222;
июль 2019;1 240;0,00202;
август 2019;1 142;0,00175;
сентябрь 2019;1 224;0,00162;
октябрь 2019;1 025;0,00135;
ноябрь 2019;1 336;0,00172;
декабрь 2019;897;0,00113;
январь 2020;986;0,00127;
февраль 2020;1 088;0,00129;
март 2020;1 203;0,00115;
апрель 2020;1 264;0,00135;
май 2020;1 292;0,00165;
июнь 2020;1 251;0,00174;
июль 2020;1 018;0,00143;
август 2020;984;0,00124;
сентябрь 2020;1 310;0,00145;
октябрь 2020;1 114;0,00118;
ноябрь 2020;1 359;0,00151;
декабрь 2020;1 087;0,00122;
январь 2021;1 195;0,00138;
февраль 2021;1 425;0,00148;
март 2021;1 785;0,00182;
апрель 2021;1 705;0,00175;
май 2021;1 393;0,00150;
июнь 2021;1 624;0,00182;
июль 2021;1 539;0,00167;
август 2021;1 419;0,00145;
сентябрь 2021;1 989;0,00191;
октябрь 2021;1 969;0,00180;
ноябрь 2021;2 279;0,00209;
декабрь 2021;1 860;0,00169;
январь 2022;2 225;0,00211;
февраль 2022;4 341;0,00365;
март 2022;3 911;0,00343;
апрель 2022;4 253;0,00387;
май 2022;3 763;0,00380;
июнь 2022;3 396;0,00341;
июль 2022;3 214;0,00319;
август 2022;3 201;0,00293;
сентябрь 2022;3 450;0,00295;
октябрь 2022;3 060;0,00260;
ноябрь 2022;2 639;0,00228;
декабрь 2022;2 197;0,00189;
январь 2023;2 006;0,00187;
февраль 2023;3 088;0,00265;
март 2023;1 980;0,00185;
апрель 2023;2 005;0,00189;
май 2023;1 836;0,00187;
июнь 2023;2 049;0,00207;
июль 2023;1 925;0,00197;
август 2023;1 627;0,00162;
сентябрь 2023;1 508;0,00134;
октябрь 2023;1 590;0,00145;
ноябрь 2023;1 447;0,00134;
декабрь 2023;1 348;0,00120;
январь 2024;1 526;0,00145;
февраль 2024;1 471;0,00136;
март 2024;1 348;0,00133;
апрель 2024;1 267;0,00127;
май 2024;1 395;0,00156;
июнь 2024;1 429;0,00159;
июль 2024;1 262;0,00139;
август 2024;1 303;0,00139;
сентябрь 2024;1 008;0,00095;
октябрь 2024;1 018;0,00095;
ноябрь 2024;1 316;0,00119;
декабрь 2024;1 385;0,00124;
