Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Санкт-Петербург, все устройства
декабрь 2017;14 111;0,0030;
январь 2018;14 142;0,0029;
февраль 2018;16 512;0,0032;
март 2018;16 093;0,0034;
апрель 2018;16 452;0,0036;
май 2018;17 360;0,0040;
июнь 2018;18 324;0,0043;
июль 2018;18 413;0,0042;
август 2018;17 900;0,0036;
сентябрь 2018;18 643;0,0032;
октябрь 2018;16 385;0,0031;
ноябрь 2018;18 835;0,0036;
декабрь 2018;17 233;0,0033;
январь 2019;18 060;0,0035;
февраль 2019;18 537;0,0034;
март 2019;18 178;0,0036;
апрель 2019;16 790;0,0034;
май 2019;16 883;0,0038;
июнь 2019;15 475;0,0035;
июль 2019;14 770;0,0033;
август 2019;14 356;0,0029;
сентябрь 2019;14 498;0,0026;
октябрь 2019;13 729;0,0025;
ноябрь 2019;19 527;0,0035;
декабрь 2019;13 004;0,0023;
январь 2020;12 740;0,0023;
февраль 2020;14 875;0,0025;
март 2020;13 175;0,0020;
апрель 2020;15 774;0,0026;
май 2020;15 068;0,0029;
июнь 2020;14 557;0,0028;
июль 2020;13 972;0,0027;
август 2020;14 263;0,0025;
сентябрь 2020;14 901;0,0023;
октябрь 2020;15 143;0,0022;
ноябрь 2020;17 238;0,0026;
декабрь 2020;12 840;0,0020;
январь 2021;12 319;0,0020;
февраль 2021;16 088;0,0023;
март 2021;17 630;0,0027;
апрель 2021;14 871;0,0026;
май 2021;14 872;0,0026;
июнь 2021;17 156;0,0029;
июль 2021;19 143;0,0030;
август 2021;16 588;0,0026;
сентябрь 2021;17 475;0,0028;
октябрь 2021;17 647;0,0027;
ноябрь 2021;26 859;0,0041;
декабрь 2021;19 928;0,0029;
январь 2022;22 385;0,0032;
февраль 2022;48 639;0,0067;
март 2022;46 849;0,0070;
апрель 2022;47 522;0,0067;
май 2022;42 740;0,0067;
июнь 2022;35 666;0,0062;
июль 2022;32 113;0,0054;
август 2022;33 506;0,0055;
сентябрь 2022;36 046;0,0055;
октябрь 2022;30 044;0,0043;
ноябрь 2022;25 109;0,0039;
декабрь 2022;20 716;0,0034;
январь 2023;19 856;0,0034;
февраль 2023;29 369;0,0045;
март 2023;19 671;0,0032;
апрель 2023;17 233;0,0029;
май 2023;15 806;0,0030;
июнь 2023;16 612;0,0033;
июль 2023;17 068;0,0034;
август 2023;15 547;0,0028;
сентябрь 2023;15 812;0,0026;
октябрь 2023;14 619;0,0024;
ноябрь 2023;13 791;0,0022;
декабрь 2023;13 090;0,0021;
январь 2024;13 297;0,0023;
февраль 2024;14 629;0,0024;
март 2024;13 698;0,0023;
апрель 2024;13 317;0,0024;
май 2024;12 524;0,0026;
июнь 2024;11 255;0,0023;
июль 2024;12 528;0,0026;
август 2024;10 850;0,0021;
сентябрь 2024;10 220;0,0017;
октябрь 2024;11 360;0,0018;
ноябрь 2024;13 259;0,0021;
декабрь 2024;11 667;0,0019;
