Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Санкт-Петербург и Ленинградская область, кроме Санкт-Петербург, все устройства
декабрь 2017;1 525;0,0028;
январь 2018;1 504;0,0028;
февраль 2018;1 663;0,0027;
март 2018;1 640;0,0030;
апрель 2018;1 832;0,0034;
май 2018;2 166;0,0039;
июнь 2018;2 280;0,0041;
июль 2018;2 355;0,0040;
август 2018;2 179;0,0035;
сентябрь 2018;2 103;0,0030;
октябрь 2018;1 920;0,0029;
ноябрь 2018;2 249;0,0034;
декабрь 2018;2 186;0,0030;
январь 2019;2 232;0,0032;
февраль 2019;2 255;0,0029;
март 2019;2 311;0,0033;
апрель 2019;2 230;0,0030;
май 2019;2 609;0,0037;
июнь 2019;2 522;0,0035;
июль 2019;2 070;0,0029;
август 2019;1 912;0,0027;
сентябрь 2019;1 866;0,0023;
октябрь 2019;1 854;0,0023;
ноябрь 2019;2 976;0,0036;
декабрь 2019;2 004;0,0023;
январь 2020;1 835;0,0022;
февраль 2020;2 154;0,0023;
март 2020;2 174;0,0018;
апрель 2020;2 630;0,0023;
май 2020;2 371;0,0024;
июнь 2020;2 478;0,0026;
июль 2020;2 074;0,0023;
август 2020;2 210;0,0025;
сентябрь 2020;2 303;0,0023;
октябрь 2020;2 201;0,0021;
ноябрь 2020;2 467;0,0025;
декабрь 2020;1 783;0,0018;
январь 2021;1 804;0,0020;
февраль 2021;1 911;0,0019;
март 2021;2 576;0,0023;
апрель 2021;2 595;0,0019;
май 2021;2 629;0,0020;
июнь 2021;2 383;0,0022;
июль 2021;2 504;0,0023;
август 2021;2 681;0,0021;
сентябрь 2021;3 460;0,0025;
октябрь 2021;3 299;0,0023;
ноябрь 2021;3 974;0,0028;
декабрь 2021;3 471;0,0023;
январь 2022;3 567;0,0024;
февраль 2022;9 034;0,0057;
март 2022;8 952;0,0060;
апрель 2022;8 783;0,0057;
май 2022;8 477;0,0058;
июнь 2022;7 482;0,0048;
июль 2022;6 644;0,0044;
август 2022;6 532;0,0042;
сентябрь 2022;7 179;0,0044;
октябрь 2022;5 924;0,0037;
ноябрь 2022;5 127;0,0033;
декабрь 2022;5 005;0,0031;
январь 2023;4 271;0,0029;
февраль 2023;6 246;0,0039;
март 2023;4 324;0,0029;
апрель 2023;4 278;0,0028;
май 2023;3 857;0,0026;
июнь 2023;4 199;0,0027;
июль 2023;4 331;0,0028;
август 2023;3 693;0,0025;
сентябрь 2023;3 523;0,0022;
октябрь 2023;3 524;0,0023;
ноябрь 2023;3 401;0,0022;
декабрь 2023;2 965;0,0019;
январь 2024;3 053;0,0021;
февраль 2024;3 249;0,0021;
март 2024;2 962;0,0020;
апрель 2024;2 703;0,0018;
май 2024;2 941;0,0021;
июнь 2024;2 998;0,0020;
июль 2024;3 295;0,0023;
август 2024;2 811;0,0020;
сентябрь 2024;2 456;0,0016;
октябрь 2024;2 770;0,0018;
ноябрь 2024;2 937;0,0018;
декабрь 2024;2 590;0,0015;
