Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Кемеровская область (Кузбасс), все устройства
декабрь 2017;1 258;0,00122;
январь 2018;1 279;0,00129;
февраль 2018;1 307;0,00122;
март 2018;1 358;0,00135;
апрель 2018;1 313;0,00125;
май 2018;1 213;0,00144;
июнь 2018;1 163;0,00133;
июль 2018;1 282;0,00144;
август 2018;1 273;0,00126;
сентябрь 2018;1 380;0,00117;
октябрь 2018;1 532;0,00141;
ноябрь 2018;1 676;0,00152;
декабрь 2018;1 631;0,00147;
январь 2019;1 691;0,00154;
февраль 2019;1 684;0,00151;
март 2019;1 586;0,00146;
апрель 2019;1 559;0,00153;
май 2019;1 773;0,00196;
июнь 2019;1 551;0,00177;
июль 2019;1 568;0,00176;
август 2019;1 547;0,00158;
сентябрь 2019;1 658;0,00148;
октябрь 2019;1 503;0,00133;
ноябрь 2019;1 809;0,00151;
декабрь 2019;1 348;0,00109;
январь 2020;1 470;0,00122;
февраль 2020;1 376;0,00102;
март 2020;1 270;0,00077;
апрель 2020;1 530;0,00101;
май 2020;1 403;0,00116;
июнь 2020;1 414;0,00130;
июль 2020;1 311;0,00121;
август 2020;1 528;0,00121;
сентябрь 2020;1 619;0,00107;
октябрь 2020;1 765;0,00105;
ноябрь 2020;1 943;0,00132;
декабрь 2020;1 531;0,00107;
январь 2021;1 467;0,00110;
февраль 2021;1 618;0,00113;
март 2021;1 701;0,00118;
апрель 2021;1 522;0,00111;
май 2021;1 521;0,00117;
июнь 2021;1 354;0,00113;
июль 2021;1 426;0,00116;
август 2021;1 596;0,00117;
сентябрь 2021;1 718;0,00113;
октябрь 2021;1 706;0,00112;
ноябрь 2021;1 823;0,00114;
декабрь 2021;2 377;0,00149;
январь 2022;2 063;0,00130;
февраль 2022;4 363;0,00258;
март 2022;3 789;0,00238;
апрель 2022;3 700;0,00244;
май 2022;3 444;0,00246;
июнь 2022;2 991;0,00224;
июль 2022;2 852;0,00211;
август 2022;3 053;0,00201;
сентябрь 2022;3 154;0,00188;
октябрь 2022;3 045;0,00176;
ноябрь 2022;2 652;0,00151;
декабрь 2022;2 202;0,00129;
январь 2023;2 207;0,00138;
февраль 2023;3 355;0,00193;
март 2023;2 409;0,00144;
апрель 2023;2 119;0,00134;
май 2023;1 793;0,00132;
июнь 2023;2 003;0,00151;
июль 2023;2 039;0,00152;
август 2023;2 021;0,00139;
сентябрь 2023;2 077;0,00128;
октябрь 2023;1 886;0,00118;
ноябрь 2023;1 906;0,00112;
декабрь 2023;1 930;0,00118;
январь 2024;1 905;0,00121;
февраль 2024;2 004;0,00128;
март 2024;1 716;0,00114;
апрель 2024;1 584;0,00110;
май 2024;1 440;0,00118;
июнь 2024;1 523;0,00129;
июль 2024;1 460;0,00121;
август 2024;1 655;0,00125;
сентябрь 2024;1 599;0,00103;
октябрь 2024;1 582;0,00102;
ноябрь 2024;1 511;0,00093;
декабрь 2024;1 520;0,00096;
