Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Новосибирская область, все устройства
декабрь 2017;4 080;0,0022;
январь 2018;4 288;0,0023;
февраль 2018;4 751;0,0023;
март 2018;4 610;0,0025;
апрель 2018;4 755;0,0025;
май 2018;4 460;0,0028;
июнь 2018;4 504;0,0028;
июль 2018;5 504;0,0033;
август 2018;6 152;0,0032;
сентябрь 2018;5 690;0,0025;
октябрь 2018;4 837;0,0024;
ноябрь 2018;5 818;0,0027;
декабрь 2018;5 452;0,0023;
январь 2019;5 548;0,0026;
февраль 2019;5 940;0,0027;
март 2019;5 814;0,0028;
апрель 2019;5 500;0,0027;
май 2019;5 887;0,0032;
июнь 2019;5 509;0,0031;
июль 2019;5 014;0,0028;
август 2019;5 869;0,0031;
сентябрь 2019;5 610;0,0027;
октябрь 2019;5 083;0,0024;
ноябрь 2019;6 306;0,0028;
декабрь 2019;4 694;0,0020;
январь 2020;4 406;0,0020;
февраль 2020;4 913;0,0020;
март 2020;4 487;0,0016;
апрель 2020;5 148;0,0020;
май 2020;4 648;0,0022;
июнь 2020;4 795;0,0024;
июль 2020;4 511;0,0022;
август 2020;5 691;0,0025;
сентябрь 2020;5 227;0,0020;
октябрь 2020;5 111;0,0019;
ноябрь 2020;5 782;0,0021;
декабрь 2020;4 422;0,0017;
январь 2021;4 374;0,0018;
февраль 2021;5 026;0,0019;
март 2021;5 119;0,0020;
апрель 2021;4 254;0,0018;
май 2021;3 997;0,0018;
июнь 2021;4 443;0,0019;
июль 2021;4 423;0,0019;
август 2021;5 777;0,0024;
сентябрь 2021;4 959;0,0020;
октябрь 2021;4 757;0,0019;
ноябрь 2021;5 102;0,0020;
декабрь 2021;4 575;0,0018;
январь 2022;5 076;0,0020;
февраль 2022;12 494;0,0046;
март 2022;11 638;0,0045;
апрель 2022;10 895;0,0043;
май 2022;11 085;0,0047;
июнь 2022;10 245;0,0045;
июль 2022;8 546;0,0036;
август 2022;10 831;0,0043;
сентябрь 2022;10 719;0,0039;
октябрь 2022;9 158;0,0032;
ноябрь 2022;7 988;0,0028;
декабрь 2022;7 175;0,0026;
январь 2023;7 196;0,0027;
февраль 2023;13 523;0,0048;
март 2023;8 614;0,0033;
апрель 2023;6 927;0,0028;
май 2023;6 556;0,0029;
июнь 2023;6 325;0,0029;
июль 2023;8 000;0,0037;
август 2023;8 064;0,0034;
сентябрь 2023;8 020;0,0031;
октябрь 2023;6 770;0,0026;
ноябрь 2023;6 692;0,0025;
декабрь 2023;6 094;0,0022;
январь 2024;5 636;0,0022;
февраль 2024;6 427;0,0025;
март 2024;5 554;0,0023;
апрель 2024;5 223;0,0022;
май 2024;4 852;0,0023;
июнь 2024;4 418;0,0021;
июль 2024;5 416;0,0026;
август 2024;9 178;0,0041;
сентябрь 2024;7 060;0,0027;
октябрь 2024;8 073;0,0031;
ноябрь 2024;13 309;0,0050;
декабрь 2024;12 048;0,0046;
