Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Забайкальский край, все устройства
декабрь 2017;334;0,00105;
январь 2018;264;0,00085;
февраль 2018;345;0,00105;
март 2018;315;0,00104;
апрель 2018;426;0,00142;
май 2018;314;0,00119;
июнь 2018;378;0,00140;
июль 2018;347;0,00128;
август 2018;407;0,00129;
сентябрь 2018;352;0,00095;
октябрь 2018;405;0,00116;
ноябрь 2018;406;0,00119;
декабрь 2018;321;0,00091;
январь 2019;316;0,00091;
февраль 2019;364;0,00100;
март 2019;419;0,00119;
апрель 2019;331;0,00101;
май 2019;450;0,00159;
июнь 2019;331;0,00117;
июль 2019;370;0,00129;
август 2019;436;0,00130;
сентябрь 2019;381;0,00094;
октябрь 2019;456;0,00111;
ноябрь 2019;530;0,00123;
декабрь 2019;380;0,00089;
январь 2020;350;0,00080;
февраль 2020;410;0,00086;
март 2020;379;0,00063;
апрель 2020;389;0,00074;
май 2020;387;0,00099;
июнь 2020;334;0,00091;
июль 2020;302;0,00082;
август 2020;315;0,00072;
сентябрь 2020;401;0,00073;
октябрь 2020;399;0,00064;
ноябрь 2020;447;0,00078;
декабрь 2020;305;0,00060;
январь 2021;343;0,00070;
февраль 2021;392;0,00080;
март 2021;368;0,00073;
апрель 2021;429;0,00089;
май 2021;427;0,00100;
июнь 2021;414;0,00104;
июль 2021;335;0,00083;
август 2021;356;0,00076;
сентябрь 2021;445;0,00084;
октябрь 2021;334;0,00056;
ноябрь 2021;517;0,00091;
декабрь 2021;425;0,00077;
январь 2022;433;0,00078;
февраль 2022;748;0,00128;
март 2022;798;0,00141;
апрель 2022;779;0,00146;
май 2022;624;0,00135;
июнь 2022;709;0,00160;
июль 2022;627;0,00140;
август 2022;745;0,00142;
сентябрь 2022;767;0,00131;
октябрь 2022;845;0,00135;
ноябрь 2022;728;0,00117;
декабрь 2022;650;0,00105;
январь 2023;514;0,00090;
февраль 2023;617;0,00099;
март 2023;562;0,00093;
апрель 2023;498;0,00088;
май 2023;403;0,00084;
июнь 2023;451;0,00099;
июль 2023;456;0,00100;
август 2023;460;0,00089;
сентябрь 2023;399;0,00068;
октябрь 2023;462;0,00080;
ноябрь 2023;458;0,00076;
декабрь 2023;423;0,00071;
январь 2024;393;0,00069;
февраль 2024;465;0,00085;
март 2024;458;0,00087;
апрель 2024;320;0,00066;
май 2024;308;0,00075;
июнь 2024;391;0,00100;
июль 2024;307;0,00077;
август 2024;286;0,00064;
сентябрь 2024;346;0,00065;
октябрь 2024;333;0,00060;
ноябрь 2024;334;0,00057;
декабрь 2024;295;0,00051;
