Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Приморский край, все устройства
декабрь 2017;629;0,0011;
январь 2018;723;0,0013;
февраль 2018;841;0,0014;
март 2018;840;0,0015;
апрель 2018;813;0,0015;
май 2018;894;0,0017;
июнь 2018;961;0,0017;
июль 2018;980;0,0018;
август 2018;841;0,0014;
сентябрь 2018;793;0,0012;
октябрь 2018;863;0,0014;
ноябрь 2018;970;0,0014;
декабрь 2018;1 113;0,0013;
январь 2019;1 223;0,0016;
февраль 2019;1 277;0,0015;
март 2019;1 273;0,0016;
апрель 2019;1 409;0,0017;
май 2019;1 480;0,0019;
июнь 2019;1 462;0,0020;
июль 2019;1 282;0,0017;
август 2019;1 072;0,0015;
сентябрь 2019;1 090;0,0015;
октябрь 2019;973;0,0013;
ноябрь 2019;1 232;0,0016;
декабрь 2019;971;0,0012;
январь 2020;1 049;0,0014;
февраль 2020;1 023;0,0012;
март 2020;1 058;0,0010;
апрель 2020;1 212;0,0013;
май 2020;1 098;0,0014;
июнь 2020;1 056;0,0014;
июль 2020;1 166;0,0015;
август 2020;1 199;0,0014;
сентябрь 2020;1 208;0,0013;
октябрь 2020;1 069;0,0012;
ноябрь 2020;1 173;0,0013;
декабрь 2020;852;0,0010;
январь 2021;897;0,0011;
февраль 2021;1 126;0,0013;
март 2021;1 104;0,0013;
апрель 2021;1 133;0,0013;
май 2021;950;0,0011;
июнь 2021;1 049;0,0013;
июль 2021;1 109;0,0013;
август 2021;1 098;0,0013;
сентябрь 2021;1 395;0,0015;
октябрь 2021;1 572;0,0017;
ноябрь 2021;1 647;0,0017;
декабрь 2021;1 479;0,0015;
январь 2022;1 495;0,0016;
февраль 2022;3 320;0,0032;
март 2022;3 366;0,0035;
апрель 2022;3 499;0,0036;
май 2022;3 473;0,0038;
июнь 2022;3 191;0,0035;
июль 2022;2 530;0,0028;
август 2022;2 807;0,0029;
сентябрь 2022;3 242;0,0031;
октябрь 2022;3 372;0,0030;
ноябрь 2022;2 251;0,0021;
декабрь 2022;2 214;0,0021;
январь 2023;2 239;0,0023;
февраль 2023;2 880;0,0027;
март 2023;2 029;0,0019;
апрель 2023;1 709;0,0017;
май 2023;1 771;0,0020;
июнь 2023;1 638;0,0018;
июль 2023;1 728;0,0019;
август 2023;1 567;0,0017;
сентябрь 2023;1 524;0,0015;
октябрь 2023;1 527;0,0015;
ноябрь 2023;1 343;0,0013;
декабрь 2023;1 390;0,0013;
январь 2024;1 428;0,0015;
февраль 2024;1 469;0,0015;
март 2024;1 282;0,0013;
апрель 2024;1 266;0,0014;
май 2024;1 400;0,0017;
июнь 2024;1 233;0,0015;
июль 2024;2 351;0,0029;
август 2024;1 319;0,0015;
сентябрь 2024;1 935;0,0020;
октябрь 2024;1 527;0,0015;
ноябрь 2024;1 419;0,0013;
декабрь 2024;1 323;0,0013;
