Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Ямало-Ненецкий автономный округ, все устройства
декабрь 2017;701;0,00315;
январь 2018;705;0,00318;
февраль 2018;864;0,00364;
март 2018;779;0,00345;
апрель 2018;815;0,00365;
май 2018;725;0,00435;
июнь 2018;640;0,00417;
июль 2018;680;0,00428;
август 2018;654;0,00304;
сентябрь 2018;705;0,00271;
октябрь 2018;669;0,00269;
ноябрь 2018;783;0,00321;
декабрь 2018;575;0,00234;
январь 2019;566;0,00224;
февраль 2019;721;0,00280;
март 2019;662;0,00259;
апрель 2019;679;0,00288;
май 2019;683;0,00382;
июнь 2019;530;0,00331;
июль 2019;523;0,00310;
август 2019;542;0,00246;
сентябрь 2019;522;0,00195;
октябрь 2019;645;0,00239;
ноябрь 2019;694;0,00247;
декабрь 2019;465;0,00164;
январь 2020;510;0,00173;
февраль 2020;632;0,00203;
март 2020;706;0,00180;
апрель 2020;867;0,00237;
май 2020;863;0,00329;
июнь 2020;740;0,00332;
июль 2020;592;0,00276;
август 2020;518;0,00189;
сентябрь 2020;626;0,00185;
октябрь 2020;677;0,00177;
ноябрь 2020;665;0,00189;
декабрь 2020;425;0,00128;
январь 2021;489;0,00152;
февраль 2021;629;0,00188;
март 2021;643;0,00182;
апрель 2021;490;0,00145;
май 2021;492;0,00176;
июнь 2021;508;0,00211;
июль 2021;432;0,00177;
август 2021;519;0,00159;
сентябрь 2021;445;0,00119;
октябрь 2021;568;0,00148;
ноябрь 2021;577;0,00143;
декабрь 2021;482;0,00120;
январь 2022;639;0,00156;
февраль 2022;1 839;0,00434;
март 2022;1 898;0,00462;
апрель 2022;1 795;0,00474;
май 2022;1 746;0,00564;
июнь 2022;1 340;0,00485;
июль 2022;994;0,00349;
август 2022;1 008;0,00274;
сентябрь 2022;1 169;0,00281;
октябрь 2022;1 357;0,00313;
ноябрь 2022;1 009;0,00230;
декабрь 2022;689;0,00159;
январь 2023;705;0,00174;
февраль 2023;1 069;0,00243;
март 2023;671;0,00156;
апрель 2023;714;0,00183;
май 2023;570;0,00187;
июнь 2023;694;0,00259;
июль 2023;723;0,00265;
август 2023;624;0,00179;
сентябрь 2023;590;0,00146;
октябрь 2023;604;0,00150;
ноябрь 2023;536;0,00129;
декабрь 2023;467;0,00116;
январь 2024;510;0,00128;
февраль 2024;585;0,00144;
март 2024;469;0,00118;
апрель 2024;476;0,00131;
май 2024;453;0,00163;
июнь 2024;396;0,00159;
июль 2024;472;0,00187;
август 2024;493;0,00157;
сентябрь 2024;326;0,00086;
октябрь 2024;388;0,00098;
ноябрь 2024;429;0,00105;
декабрь 2024;351;0,00090;
