Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Саратовская область, все устройства
декабрь 2017;0;0;
январь 2018;0;0;
февраль 2018;1;0,00000093;
март 2018;0;0;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;0;0;
июль 2018;1;0,00000112;
август 2018;0;0;
сентябрь 2018;0;0;
октябрь 2018;0;0;
ноябрь 2018;0;0;
декабрь 2018;2;0,00000177;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;0;0;
апрель 2019;4;0,00000403;
май 2019;0;0;
июнь 2019;0;0;
июль 2019;1;0,00000108;
август 2019;2;0,00000195;
сентябрь 2019;0;0;
октябрь 2019;0;0;
ноябрь 2019;1;0,00000085;
декабрь 2019;1;0,00000083;
январь 2020;1;0,00000083;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;1;0,00000070;
май 2020;0;0;
июнь 2020;2;0,00000193;
июль 2020;0;0;
август 2020;3;0,00000247;
сентябрь 2020;1;0,00000072;
октябрь 2020;0;0;
ноябрь 2020;0;0;
декабрь 2020;0;0;
январь 2021;0;0;
февраль 2021;0;0;
март 2021;1;0,00000067;
апрель 2021;0;0;
май 2021;0;0;
июнь 2021;0;0;
июль 2021;1;0,00000075;
август 2021;0;0;
сентябрь 2021;1;0,00000063;
октябрь 2021;0;0;
ноябрь 2021;0;0;
декабрь 2021;3;0,00000187;
январь 2022;1;0,00000063;
февраль 2022;1;0,00000057;
март 2022;8;0,00000498;
апрель 2022;3;0,00000189;
май 2022;1;0,00000071;
июнь 2022;0;0;
июль 2022;3;0,00000220;
август 2022;0;0;
сентябрь 2022;1;0,00000059;
октябрь 2022;6;0,00000355;
ноябрь 2022;1;0,00000059;
декабрь 2022;4;0,00000235;
январь 2023;3;0,00000193;
февраль 2023;2;0,00000119;
март 2023;0;0;
апрель 2023;4;0,00000260;
май 2023;3;0,00000215;
июнь 2023;5;0,00000367;
июль 2023;0;0;
август 2023;1;0,00000068;
сентябрь 2023;1;0,00000061;
октябрь 2023;1;0,00000061;
ноябрь 2023;0;0;
декабрь 2023;0;0;
январь 2024;0;0;
февраль 2024;2;0,00000128;
март 2024;0;0;
апрель 2024;1;0,00000071;
май 2024;0;0;
июнь 2024;0;0;
июль 2024;0;0;
август 2024;3;0,00000227;
сентябрь 2024;0;0;
октябрь 2024;0;0;
ноябрь 2024;1;0,00000062;
декабрь 2024;0;0;
