Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Республика Саха (Якутия), все устройства
декабрь 2017;1;0,0000059;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;0;0;
май 2018;1;0,0000069;
июнь 2018;0;0;
июль 2018;1;0,0000068;
август 2018;2;0,0000120;
сентябрь 2018;1;0,0000049;
октябрь 2018;0;0;
ноябрь 2018;2;0,0000099;
декабрь 2018;1;0,0000047;
январь 2019;0;0;
февраль 2019;2;0,0000092;
март 2019;0;0;
апрель 2019;2;0,0000101;
май 2019;3;0,0000184;
июнь 2019;2;0,0000127;
июль 2019;1;0,0000062;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;5;0,0000216;
ноябрь 2019;1;0,0000040;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;1;0,0000027;
апрель 2020;0;0;
май 2020;5;0,0000200;
июнь 2020;0;0;
июль 2020;0;0;
август 2020;0;0;
сентябрь 2020;1;0,0000027;
октябрь 2020;1;0,0000026;
ноябрь 2020;0;0;
декабрь 2020;2;0,0000060;
январь 2021;1;0,0000033;
февраль 2021;1;0,0000031;
март 2021;2;0,0000061;
апрель 2021;0;0;
май 2021;0;0;
июнь 2021;5;0,0000196;
июль 2021;1;0,0000039;
август 2021;1;0,0000033;
сентябрь 2021;0;0;
октябрь 2021;1;0,0000027;
ноябрь 2021;0;0;
декабрь 2021;1;0,0000026;
январь 2022;5;0,0000125;
февраль 2022;1;0,0000025;
март 2022;4;0,0000105;
апрель 2022;3;0,0000079;
май 2022;3;0,0000096;
июнь 2022;0;0;
июль 2022;2;0,0000062;
август 2022;12;0,0000343;
сентябрь 2022;2;0,0000050;
октябрь 2022;5;0,0000116;
ноябрь 2022;1;0,0000022;
декабрь 2022;7;0,0000154;
январь 2023;1;0,0000024;
февраль 2023;0;0;
март 2023;0;0;
апрель 2023;0;0;
май 2023;0;0;
июнь 2023;3;0,0000087;
июль 2023;0;0;
август 2023;1;0,0000026;
сентябрь 2023;1;0,0000023;
октябрь 2023;1;0,0000022;
ноябрь 2023;0;0;
декабрь 2023;5;0,0000113;
январь 2024;0;0;
февраль 2024;4;0,0000095;
март 2024;1;0,0000024;
апрель 2024;0;0;
май 2024;3;0,0000091;
июнь 2024;1;0,0000031;
июль 2024;0;0;
август 2024;2;0,0000056;
сентябрь 2024;2;0,0000047;
октябрь 2024;1;0,0000023;
ноябрь 2024;0;0;
декабрь 2024;2;0,0000046;
