Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Владимирская область, все устройства
декабрь 2017;0;0;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;0;0;
май 2018;1;0,00000185;
июнь 2018;0;0;
июль 2018;0;0;
август 2018;0;0;
сентябрь 2018;1;0,00000140;
октябрь 2018;0;0;
ноябрь 2018;3;0,00000466;
декабрь 2018;0;0;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;0;0;
апрель 2019;0;0;
май 2019;0;0;
июнь 2019;0;0;
июль 2019;0;0;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;1;0,00000144;
ноябрь 2019;2;0,00000278;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;0;0;
май 2020;1;0,00000127;
июнь 2020;0;0;
июль 2020;1;0,00000139;
август 2020;0;0;
сентябрь 2020;3;0,00000335;
октябрь 2020;0;0;
ноябрь 2020;0;0;
декабрь 2020;0;0;
январь 2021;0;0;
февраль 2021;0;0;
март 2021;0;0;
апрель 2021;0;0;
май 2021;1;0,00000112;
июнь 2021;0;0;
июль 2021;0;0;
август 2021;0;0;
сентябрь 2021;0;0;
октябрь 2021;0;0;
ноябрь 2021;1;0,00000099;
декабрь 2021;0;0;
январь 2022;1;0,00000099;
февраль 2022;3;0,00000274;
март 2022;4;0,00000385;
апрель 2022;3;0,00000291;
май 2022;3;0,00000321;
июнь 2022;4;0,00000424;
июль 2022;0;0;
август 2022;3;0,00000295;
сентябрь 2022;0;0;
октябрь 2022;2;0,00000186;
ноябрь 2022;1;0,00000093;
декабрь 2022;0;0;
январь 2023;0;0;
февраль 2023;1;0,00000092;
март 2023;4;0,00000402;
апрель 2023;3;0,00000297;
май 2023;1;0,00000101;
июнь 2023;0;0;
июль 2023;2;0,00000195;
август 2023;2;0,00000190;
сентябрь 2023;0;0;
октябрь 2023;0;0;
ноябрь 2023;0;0;
декабрь 2023;2;0,00000167;
январь 2024;0;0;
февраль 2024;0;0;
март 2024;0;0;
апрель 2024;0;0;
май 2024;0;0;
июнь 2024;0;0;
июль 2024;1;0,00000108;
август 2024;4;0,00000430;
сентябрь 2024;2;0,00000195;
октябрь 2024;0;0;
ноябрь 2024;0;0;
декабрь 2024;1;0,00000090;
