Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Ставропольский край, все устройства
декабрь 2017;0;0;
январь 2018;1;0,00000115;
февраль 2018;4;0,00000424;
март 2018;0;0;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;0;0;
июль 2018;0;0;
август 2018;0;0;
сентябрь 2018;0;0;
октябрь 2018;0;0;
ноябрь 2018;0;0;
декабрь 2018;0;0;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;1;0,00000103;
апрель 2019;1;0,00000108;
май 2019;2;0,00000232;
июнь 2019;0;0;
июль 2019;1;0,00000115;
август 2019;0;0;
сентябрь 2019;2;0,00000200;
октябрь 2019;2;0,00000192;
ноябрь 2019;1;0,00000091;
декабрь 2019;0;0;
январь 2020;1;0,00000091;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;0;0;
май 2020;1;0,00000088;
июнь 2020;0;0;
июль 2020;0;0;
август 2020;0;0;
сентябрь 2020;0;0;
октябрь 2020;1;0,00000072;
ноябрь 2020;0;0;
декабрь 2020;0;0;
январь 2021;5;0,00000415;
февраль 2021;2;0,00000151;
март 2021;2;0,00000155;
апрель 2021;0;0;
май 2021;0;0;
июнь 2021;0;0;
июль 2021;0;0;
август 2021;0;0;
сентябрь 2021;0;0;
октябрь 2021;1;0,00000070;
ноябрь 2021;0;0;
декабрь 2021;0;0;
январь 2022;6;0,00000432;
февраль 2022;0;0;
март 2022;1;0,00000070;
апрель 2022;1;0,00000068;
май 2022;0;0;
июнь 2022;1;0,00000074;
июль 2022;0;0;
август 2022;3;0,00000206;
сентябрь 2022;2;0,00000128;
октябрь 2022;0;0;
ноябрь 2022;3;0,00000188;
декабрь 2022;3;0,00000188;
январь 2023;0;0;
февраль 2023;1;0,00000063;
март 2023;1;0,00000067;
апрель 2023;1;0,00000067;
май 2023;1;0,00000074;
июнь 2023;3;0,00000226;
июль 2023;3;0,00000228;
август 2023;0;0;
сентябрь 2023;1;0,00000067;
октябрь 2023;1;0,00000067;
ноябрь 2023;0;0;
декабрь 2023;2;0,00000131;
январь 2024;0;0;
февраль 2024;2;0,00000138;
март 2024;3;0,00000224;
апрель 2024;0;0;
май 2024;1;0,00000083;
июнь 2024;0;0;
июль 2024;1;0,00000082;
август 2024;2;0,00000155;
сентябрь 2024;0;0;
октябрь 2024;0;0;
ноябрь 2024;2;0,00000131;
декабрь 2024;0;0;
