Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Воронежская область, все устройства
декабрь 2017;0;0;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;2;0,00000192;
апрель 2018;0;0;
май 2018;2;0,00000208;
июнь 2018;1;0,00000103;
июль 2018;1;0,00000102;
август 2018;0;0;
сентябрь 2018;0;0;
октябрь 2018;0;0;
ноябрь 2018;1;0,00000084;
декабрь 2018;3;0,00000249;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;1;0,00000090;
апрель 2019;0;0;
май 2019;0;0;
июнь 2019;0;0;
июль 2019;1;0,00000101;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;9;0,00000687;
ноябрь 2019;2;0,00000148;
декабрь 2019;1;0,00000073;
январь 2020;0;0;
февраль 2020;5;0,00000359;
март 2020;3;0,00000176;
апрель 2020;1;0,00000066;
май 2020;0;0;
июнь 2020;2;0,00000167;
июль 2020;1;0,00000086;
август 2020;1;0,00000074;
сентябрь 2020;0;0;
октябрь 2020;3;0,00000173;
ноябрь 2020;2;0,00000125;
декабрь 2020;1;0,00000065;
январь 2021;0;0;
февраль 2021;2;0,00000123;
март 2021;0;0;
апрель 2021;4;0,00000257;
май 2021;1;0,00000066;
июнь 2021;0;0;
июль 2021;3;0,00000210;
август 2021;4;0,00000251;
сентябрь 2021;1;0,00000055;
октябрь 2021;0;0;
ноябрь 2021;2;0,00000109;
декабрь 2021;1;0,00000055;
январь 2022;4;0,00000217;
февраль 2022;9;0,00000454;
март 2022;3;0,00000166;
апрель 2022;6;0,00000332;
май 2022;10;0,00000622;
июнь 2022;5;0,00000314;
июль 2022;4;0,00000249;
август 2022;2;0,00000111;
сентябрь 2022;5;0,00000257;
октябрь 2022;5;0,00000257;
ноябрь 2022;13;0,00000669;
декабрь 2022;1;0,00000052;
январь 2023;3;0,00000169;
февраль 2023;6;0,00000309;
март 2023;5;0,00000277;
апрель 2023;3;0,00000170;
май 2023;0;0;
июнь 2023;3;0,00000190;
июль 2023;5;0,00000327;
август 2023;3;0,00000181;
сентябрь 2023;5;0,00000267;
октябрь 2023;6;0,00000326;
ноябрь 2023;2;0,00000108;
декабрь 2023;0;0;
январь 2024;0;0;
февраль 2024;0;0;
март 2024;1;0,00000060;
апрель 2024;0;0;
май 2024;2;0,00000138;
июнь 2024;3;0,00000211;
июль 2024;1;0,00000070;
август 2024;2;0,00000128;
сентябрь 2024;1;0,00000057;
октябрь 2024;2;0,00000110;
ноябрь 2024;2;0,00000106;
декабрь 2024;3;0,00000164;
