Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Ямало-Ненецкий автономный округ, все устройства
декабрь 2017;2;0,0000090;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;2;0,0000089;
май 2018;0;0;
июнь 2018;1;0,0000065;
июль 2018;0;0;
август 2018;0;0;
сентябрь 2018;0;0;
октябрь 2018;1;0,0000040;
ноябрь 2018;1;0,0000041;
декабрь 2018;0;0;
январь 2019;1;0,0000039;
февраль 2019;2;0,0000077;
март 2019;2;0,0000078;
апрель 2019;3;0,0000127;
май 2019;0;0;
июнь 2019;1;0,0000062;
июль 2019;1;0,0000059;
август 2019;0;0;
сентябрь 2019;1;0,0000037;
октябрь 2019;0;0;
ноябрь 2019;0;0;
декабрь 2019;4;0,0000141;
январь 2020;1;0,0000033;
февраль 2020;5;0,0000161;
март 2020;1;0,0000025;
апрель 2020;0;0;
май 2020;2;0,0000076;
июнь 2020;6;0,0000269;
июль 2020;1;0,0000046;
август 2020;0;0;
сентябрь 2020;4;0,0000118;
октябрь 2020;4;0,0000104;
ноябрь 2020;1;0,0000028;
декабрь 2020;0;0;
январь 2021;7;0,0000217;
февраль 2021;0;0;
март 2021;1;0,0000028;
апрель 2021;1;0,0000029;
май 2021;0;0;
июнь 2021;0;0;
июль 2021;0;0;
август 2021;0;0;
сентябрь 2021;0;0;
октябрь 2021;1;0,0000026;
ноябрь 2021;0;0;
декабрь 2021;0;0;
январь 2022;3;0,0000073;
февраль 2022;2;0,0000047;
март 2022;5;0,0000121;
апрель 2022;0;0;
май 2022;5;0,0000161;
июнь 2022;8;0,0000290;
июль 2022;2;0,0000070;
август 2022;2;0,0000054;
сентябрь 2022;2;0,0000048;
октябрь 2022;11;0,0000254;
ноябрь 2022;1;0,0000022;
декабрь 2022;3;0,0000069;
январь 2023;3;0,0000074;
февраль 2023;2;0,0000045;
март 2023;3;0,0000069;
апрель 2023;0;0;
май 2023;2;0,0000065;
июнь 2023;0;0;
июль 2023;3;0,0000110;
август 2023;0;0;
сентябрь 2023;6;0,0000148;
октябрь 2023;0;0;
ноябрь 2023;2;0,0000048;
декабрь 2023;0;0;
январь 2024;0;0;
февраль 2024;2;0,0000049;
март 2024;0;0;
апрель 2024;0;0;
май 2024;1;0,0000036;
июнь 2024;1;0,0000040;
июль 2024;1;0,0000039;
август 2024;1;0,0000031;
сентябрь 2024;0;0;
октябрь 2024;0;0;
ноябрь 2024;0;0;
декабрь 2024;0;0;
