Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Ryazan Oblast, all devices
December 2017;22;0,0000436;
January 2018;9;0,0000180;
February 2018;36;0,0000661;
March 2018;2;0,0000041;
April 2018;2;0,0000042;
May 2018;9;0,0000204;
June 2018;7;0,0000157;
July 2018;0;0;
August 2018;9;0,0000174;
September 2018;9;0,0000150;
October 2018;8;0,0000146;
November 2018;8;0,0000148;
December 2018;3;0,0000054;
January 2019;3;0,0000056;
February 2019;12;0,0000210;
March 2019;9;0,0000171;
April 2019;6;0,0000122;
May 2019;12;0,0000264;
June 2019;8;0,0000172;
July 2019;6;0,0000127;
August 2019;5;0,0000098;
September 2019;1;0,0000017;
October 2019;2;0,0000034;
November 2019;7;0,0000115;
December 2019;8;0,0000128;
January 2020;5;0,0000082;
February 2020;9;0,0000134;
March 2020;16;0,0000181;
April 2020;0;0;
May 2020;8;0,0000128;
June 2020;20;0,0000347;
July 2020;31;0,0000538;
August 2020;16;0,0000250;
September 2020;21;0,0000288;
October 2020;5;0,0000064;
November 2020;4;0,0000053;
December 2020;7;0,0000094;
January 2021;2;0,0000027;
February 2021;7;0,0000086;
March 2021;8;0,0000095;
April 2021;13;0,0000157;
May 2021;2;0,0000026;
June 2021;11;0,0000159;
July 2021;3;0,0000041;
August 2021;3;0,0000036;
September 2021;1;0,0000011;
October 2021;20;0,0000229;
November 2021;15;0,0000172;
December 2021;5;0,0000057;
January 2022;2;0,0000022;
February 2022;4;0,0000042;
March 2022;4;0,0000044;
April 2022;8;0,0000091;
May 2022;9;0,0000115;
June 2022;2;0,0000026;
July 2022;12;0,0000155;
August 2022;2;0,0000023;
September 2022;3;0,0000032;
October 2022;3;0,0000032;
November 2022;10;0,0000109;
December 2022;16;0,0000174;
January 2023;11;0,0000131;
February 2023;3;0,0000032;
March 2023;4;0,0000047;
April 2023;1;0,0000011;
May 2023;14;0,0000173;
June 2023;9;0,0000112;
July 2023;2;0,0000026;
August 2023;0;0;
September 2023;9;0,0000099;
October 2023;6;0,0000067;
November 2023;3;0,0000032;
December 2023;16;0,0000173;
January 2024;13;0,0000148;
February 2024;13;0,0000144;
March 2024;14;0,0000171;
April 2024;7;0,0000087;
May 2024;8;0,0000112;
June 2024;22;0,0000298;
July 2024;116;0,0001553;
August 2024;88;0,0001132;
September 2024;127;0,0001459;
October 2024;154;0,0001688;
November 2024;164;0,0001755;
