Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Tula Oblast, all devices
December 2017;24;0,0000360;
January 2018;59;0,0000895;
February 2018;112;0,0001561;
March 2018;25;0,0000386;
April 2018;44;0,0000702;
May 2018;10;0,0000170;
June 2018;6;0,0000099;
July 2018;6;0,0000103;
August 2018;5;0,0000072;
September 2018;19;0,0000237;
October 2018;6;0,0000082;
November 2018;3;0,0000041;
December 2018;6;0,0000079;
January 2019;3;0,0000041;
February 2019;4;0,0000052;
March 2019;10;0,0000140;
April 2019;3;0,0000045;
May 2019;9;0,0000148;
June 2019;5;0,0000081;
July 2019;4;0,0000065;
August 2019;4;0,0000061;
September 2019;3;0,0000039;
October 2019;1;0,0000013;
November 2019;2;0,0000025;
December 2019;13;0,0000165;
January 2020;3;0,0000038;
February 2020;30;0,0000356;
March 2020;6;0,0000057;
April 2020;6;0,0000064;
May 2020;3;0,0000038;
June 2020;2;0,0000027;
July 2020;1;0,0000014;
August 2020;11;0,0000139;
September 2020;15;0,0000166;
October 2020;6;0,0000063;
November 2020;13;0,0000144;
December 2020;26;0,0000292;
January 2021;7;0,0000081;
February 2021;10;0,0000104;
March 2021;22;0,0000224;
April 2021;39;0,0000400;
May 2021;9;0,0000097;
June 2021;6;0,0000067;
July 2021;13;0,0000141;
August 2021;46;0,0000471;
September 2021;15;0,0000144;
October 2021;29;0,0000265;
November 2021;15;0,0000138;
December 2021;18;0,0000163;
January 2022;6;0,0000056;
February 2022;23;0,0000193;
March 2022;14;0,0000122;
April 2022;13;0,0000118;
May 2022;3;0,0000030;
June 2022;11;0,0000110;
July 2022;19;0,0000188;
August 2022;6;0,0000054;
September 2022;3;0,0000025;
October 2022;5;0,0000042;
November 2022;17;0,0000147;
December 2022;17;0,0000147;
January 2023;43;0,0000402;
February 2023;17;0,0000146;
March 2023;17;0,0000159;
April 2023;4;0,0000037;
May 2023;3;0,0000030;
June 2023;8;0,0000080;
July 2023;3;0,0000030;
August 2023;4;0,0000039;
September 2023;0;0;
October 2023;32;0,0000292;
November 2023;5;0,0000046;
December 2023;9;0,0000080;
January 2024;4;0,0000038;
February 2024;2;0,0000018;
March 2024;3;0,0000029;
April 2024;1;0,0000010;
May 2024;0;0;
June 2024;13;0,0000144;
July 2024;6;0,0000066;
August 2024;0;0;
September 2024;3;0,0000028;
October 2024;4;0,0000037;
November 2024;19;0,0000172;
