Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Yaroslavl Oblast, all devices
December 2017;10;0,00001657;
January 2018;6;0,00001007;
February 2018;3;0,00000456;
March 2018;2;0,00000336;
April 2018;3;0,00000521;
May 2018;5;0,00000918;
June 2018;1;0,00000182;
July 2018;2;0,00000364;
August 2018;11;0,00001706;
September 2018;20;0,00002714;
October 2018;2;0,00000299;
November 2018;7;0,00001056;
December 2018;10;0,00001450;
January 2019;5;0,00000759;
February 2019;15;0,00002127;
March 2019;38;0,00005815;
April 2019;16;0,00002489;
May 2019;7;0,00001182;
June 2019;9;0,00001476;
July 2019;11;0,00001799;
August 2019;8;0,00001229;
September 2019;0;0;
October 2019;0;0;
November 2019;2;0,00000272;
December 2019;1;0,00000133;
January 2020;1;0,00000139;
February 2020;0;0;
March 2020;1;0,00000100;
April 2020;5;0,00000560;
May 2020;6;0,00000843;
June 2020;13;0,00001871;
July 2020;11;0,00001635;
August 2020;0;0;
September 2020;3;0,00000358;
October 2020;1;0,00000116;
November 2020;13;0,00001554;
December 2020;11;0,00001339;
January 2021;2;0,00000250;
February 2021;5;0,00000562;
March 2021;1;0,00000110;
April 2021;3;0,00000333;
May 2021;0;0;
June 2021;2;0,00000254;
July 2021;4;0,00000487;
August 2021;17;0,00001879;
September 2021;6;0,00000612;
October 2021;29;0,00002883;
November 2021;17;0,00001659;
December 2021;10;0,00000974;
January 2022;7;0,00000699;
February 2022;5;0,00000449;
March 2022;15;0,00001429;
April 2022;11;0,00001062;
May 2022;21;0,00002265;
June 2022;7;0,00000780;
July 2022;0;0;
August 2022;0;0;
September 2022;6;0,00000555;
October 2022;10;0,00000923;
November 2022;1;0,00000093;
December 2022;3;0,00000279;
January 2023;9;0,00000912;
February 2023;5;0,00000459;
March 2023;8;0,00000806;
April 2023;0;0;
May 2023;2;0,00000220;
June 2023;4;0,00000445;
July 2023;4;0,00000459;
August 2023;2;0,00000216;
September 2023;0;0;
October 2023;3;0,00000293;
November 2023;1;0,00000097;
December 2023;0;0;
January 2024;8;0,00000819;
February 2024;2;0,00000196;
March 2024;2;0,00000210;
April 2024;0;0;
May 2024;4;0,00000494;
June 2024;5;0,00000627;
July 2024;2;0,00000251;
August 2024;2;0,00000237;
September 2024;7;0,00000725;
October 2024;5;0,00000499;
November 2024;5;0,00000480;
