Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Arkhangel'skaya Oblast', all devices
December 2017;0;0;
January 2018;2;0,0000048;
February 2018;1;0,0000022;
March 2018;0;0;
April 2018;0;0;
May 2018;0;0;
June 2018;0;0;
July 2018;0;0;
August 2018;2;0,0000047;
September 2018;0;0;
October 2018;3;0,0000067;
November 2018;0;0;
December 2018;3;0,0000065;
January 2019;0;0;
February 2019;0;0;
March 2019;0;0;
April 2019;0;0;
May 2019;0;0;
June 2019;0;0;
July 2019;0;0;
August 2019;2;0,0000050;
September 2019;0;0;
October 2019;1;0,0000021;
November 2019;0;0;
December 2019;0;0;
January 2020;0;0;
February 2020;1;0,0000019;
March 2020;1;0,0000014;
April 2020;0;0;
May 2020;0;0;
June 2020;1;0,0000024;
July 2020;1;0,0000024;
August 2020;0;0;
September 2020;0;0;
October 2020;1;0,0000017;
November 2020;2;0,0000035;
December 2020;0;0;
January 2021;0;0;
February 2021;0;0;
March 2021;0;0;
April 2021;0;0;
May 2021;2;0,0000037;
June 2021;3;0,0000066;
July 2021;0;0;
August 2021;0;0;
September 2021;0;0;
October 2021;0;0;
November 2021;3;0,0000041;
December 2021;3;0,0000042;
January 2022;3;0,0000043;
February 2022;0;0;
March 2022;18;0,0000247;
April 2022;7;0,0000100;
May 2022;0;0;
June 2022;8;0,0000142;
July 2022;1;0,0000017;
August 2022;2;0,0000029;
September 2022;0;0;
October 2022;0;0;
November 2022;0;0;
December 2022;0;0;
January 2023;5;0,0000074;
February 2023;2;0,0000027;
March 2023;0;0;
April 2023;0;0;
May 2023;0;0;
June 2023;0;0;
July 2023;0;0;
August 2023;0;0;
September 2023;1;0,0000014;
October 2023;0;0;
November 2023;0;0;
December 2023;4;0,0000056;
January 2024;0;0;
February 2024;0;0;
March 2024;0;0;
April 2024;0;0;
May 2024;0;0;
June 2024;0;0;
July 2024;0;0;
August 2024;0;0;
September 2024;3;0,0000045;
October 2024;1;0,0000014;
November 2024;0;0;
