Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Vologda Oblast, all devices
December 2017;1;0,0000018;
January 2018;0;0;
February 2018;0;0;
March 2018;0;0;
April 2018;1;0,0000020;
May 2018;25;0,0000559;
June 2018;6;0,0000135;
July 2018;6;0,0000131;
August 2018;5;0,0000093;
September 2018;33;0,0000542;
October 2018;1;0,0000018;
November 2018;2;0,0000036;
December 2018;1;0,0000017;
January 2019;2;0,0000037;
February 2019;1;0,0000017;
March 2019;3;0,0000055;
April 2019;0;0;
May 2019;0;0;
June 2019;3;0,0000065;
July 2019;0;0;
August 2019;0;0;
September 2019;5;0,0000087;
October 2019;1;0,0000017;
November 2019;0;0;
December 2019;6;0,0000100;
January 2020;3;0,0000051;
February 2020;5;0,0000078;
March 2020;13;0,0000155;
April 2020;7;0,0000096;
May 2020;2;0,0000035;
June 2020;23;0,0000432;
July 2020;5;0,0000094;
August 2020;5;0,0000083;
September 2020;4;0,0000060;
October 2020;12;0,0000168;
November 2020;3;0,0000044;
December 2020;2;0,0000030;
January 2021;2;0,0000031;
February 2021;0;0;
March 2021;3;0,0000041;
April 2021;0;0;
May 2021;3;0,0000045;
June 2021;0;0;
July 2021;1;0,0000016;
August 2021;1;0,0000013;
September 2021;3;0,0000037;
October 2021;0;0;
November 2021;3;0,0000035;
December 2021;2;0,0000023;
January 2022;2;0,0000024;
February 2022;3;0,0000033;
March 2022;4;0,0000046;
April 2022;0;0;
May 2022;10;0,0000135;
June 2022;12;0,0000167;
July 2022;17;0,0000236;
August 2022;20;0,0000243;
September 2022;4;0,0000045;
October 2022;0;0;
November 2022;2;0,0000022;
December 2022;1;0,0000011;
January 2023;1;0,0000012;
February 2023;1;0,0000011;
March 2023;0;0;
April 2023;0;0;
May 2023;2;0,0000027;
June 2023;2;0,0000027;
July 2023;2;0,0000028;
August 2023;0;0;
September 2023;0;0;
October 2023;0;0;
November 2023;5;0,0000058;
December 2023;15;0,0000173;
January 2024;8;0,0000098;
February 2024;0;0;
March 2024;0;0;
April 2024;2;0,0000026;
May 2024;2;0,0000030;
June 2024;2;0,0000030;
July 2024;3;0,0000045;
August 2024;1;0,0000014;
September 2024;5;0,0000062;
October 2024;2;0,0000024;
November 2024;1;0,0000011;
