Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Volgograd Oblast, all devices
December 2017;5;0,00000527;
January 2018;5;0,00000534;
February 2018;0;0;
March 2018;0;0;
April 2018;2;0,00000229;
May 2018;7;0,00000858;
June 2018;2;0,00000237;
July 2018;1;0,00000122;
August 2018;4;0,00000430;
September 2018;4;0,00000370;
October 2018;3;0,00000305;
November 2018;5;0,00000508;
December 2018;6;0,00000592;
January 2019;50;0,00005022;
February 2019;6;0,00000592;
March 2019;3;0,00000322;
April 2019;2;0,00000228;
May 2019;9;0,00001112;
June 2019;7;0,00000839;
July 2019;10;0,00001197;
August 2019;25;0,00002791;
September 2019;20;0,00002007;
October 2019;11;0,00001084;
November 2019;6;0,00000557;
December 2019;3;0,00000272;
January 2020;8;0,00000751;
February 2020;4;0,00000354;
March 2020;5;0,00000337;
April 2020;10;0,00000777;
May 2020;7;0,00000647;
June 2020;10;0,00001009;
July 2020;6;0,00000599;
August 2020;2;0,00000181;
September 2020;4;0,00000310;
October 2020;6;0,00000431;
November 2020;37;0,00002779;
December 2020;10;0,00000778;
January 2021;24;0,00001911;
February 2021;31;0,00002197;
March 2021;35;0,00002679;
April 2021;42;0,00003206;
May 2021;32;0,00002514;
June 2021;4;0,00000347;
July 2021;1;0,00000086;
August 2021;1;0,00000076;
September 2021;8;0,00000558;
October 2021;3;0,00000201;
November 2021;5;0,00000323;
December 2021;6;0,00000388;
January 2022;6;0,00000396;
February 2022;5;0,00000295;
March 2022;2;0,00000131;
April 2022;0;0;
May 2022;4;0,00000290;
June 2022;0;0;
July 2022;9;0,00000650;
August 2022;5;0,00000329;
September 2022;1;0,00000061;
October 2022;5;0,00000300;
November 2022;3;0,00000179;
December 2022;3;0,00000181;
January 2023;4;0,00000263;
February 2023;3;0,00000182;
March 2023;1;0,00000065;
April 2023;2;0,00000130;
May 2023;2;0,00000144;
June 2023;0;0;
July 2023;14;0,00001030;
August 2023;2;0,00000141;
September 2023;0;0;
October 2023;0;0;
November 2023;1;0,00000060;
December 2023;4;0,00000247;
January 2024;1;0,00000065;
February 2024;1;0,00000062;
March 2024;0;0;
April 2024;1;0,00000070;
May 2024;4;0,00000316;
June 2024;4;0,00000318;
July 2024;2;0,00000160;
August 2024;2;0,00000151;
September 2024;4;0,00000263;
October 2024;5;0,00000315;
November 2024;3;0,00000182;
