Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Kirov Oblast, all devices
December 2017;5;0,0000100;
January 2018;0;0;
February 2018;0;0;
March 2018;0;0;
April 2018;1;0,0000020;
May 2018;0;0;
June 2018;0;0;
July 2018;3;0,0000066;
August 2018;0;0;
September 2018;0;0;
October 2018;1;0,0000018;
November 2018;8;0,0000147;
December 2018;2;0,0000036;
January 2019;0;0;
February 2019;5;0,0000090;
March 2019;0;0;
April 2019;1;0,0000020;
May 2019;0;0;
June 2019;18;0,0000391;
July 2019;0;0;
August 2019;0;0;
September 2019;1;0,0000016;
October 2019;0;0;
November 2019;1;0,0000017;
December 2019;0;0;
January 2020;1;0,0000017;
February 2020;0;0;
March 2020;0;0;
April 2020;1;0,0000012;
May 2020;0;0;
June 2020;0;0;
July 2020;2;0,0000037;
August 2020;3;0,0000049;
September 2020;1;0,0000014;
October 2020;0;0;
November 2020;1;0,0000014;
December 2020;2;0,0000029;
January 2021;1;0,0000015;
February 2021;4;0,0000057;
March 2021;0;0;
April 2021;0;0;
May 2021;0;0;
June 2021;0;0;
July 2021;0;0;
August 2021;3;0,0000041;
September 2021;1;0,0000012;
October 2021;0;0;
November 2021;0;0;
December 2021;3;0,0000036;
January 2022;1;0,0000012;
February 2022;0;0;
March 2022;3;0,0000036;
April 2022;0;0;
May 2022;0;0;
June 2022;0;0;
July 2022;0;0;
August 2022;0;0;
September 2022;0;0;
October 2022;0;0;
November 2022;0;0;
December 2022;0;0;
January 2023;1;0,0000012;
February 2023;0;0;
March 2023;0;0;
April 2023;1;0,0000012;
May 2023;0;0;
June 2023;1;0,0000014;
July 2023;1;0,0000014;
August 2023;0;0;
September 2023;0;0;
October 2023;0;0;
November 2023;0;0;
December 2023;0;0;
January 2024;3;0,0000039;
February 2024;1;0,0000012;
March 2024;0;0;
April 2024;0;0;
May 2024;0;0;
June 2024;1;0,0000015;
July 2024;0;0;
August 2024;3;0,0000044;
September 2024;0;0;
October 2024;0;0;
November 2024;0;0;
