Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Nizhny Novgorod Oblast', all devices
December 2017;9;0,00000377;
January 2018;77;0,00003227;
February 2018;10;0,00000416;
March 2018;14;0,00000663;
April 2018;18;0,00000917;
May 2018;21;0,00001173;
June 2018;24;0,00001368;
July 2018;17;0,00000901;
August 2018;4;0,00000183;
September 2018;84;0,00003202;
October 2018;44;0,00001965;
November 2018;54;0,00002346;
December 2018;43;0,00001682;
January 2019;101;0,00004201;
February 2019;58;0,00002265;
March 2019;73;0,00003050;
April 2019;21;0,00000918;
May 2019;24;0,00001176;
June 2019;56;0,00002721;
July 2019;18;0,00000896;
August 2019;5;0,00000234;
September 2019;14;0,00000571;
October 2019;26;0,00001028;
November 2019;48;0,00001777;
December 2019;32;0,00001200;
January 2020;16;0,00000624;
February 2020;27;0,00001003;
March 2020;63;0,00001865;
April 2020;17;0,00000590;
May 2020;17;0,00000688;
June 2020;26;0,00001001;
July 2020;15;0,00000582;
August 2020;30;0,00001114;
September 2020;7;0,00000239;
October 2020;41;0,00001257;
November 2020;100;0,00003156;
December 2020;25;0,00000881;
January 2021;40;0,00001493;
February 2021;87;0,00002949;
March 2021;86;0,00002966;
April 2021;89;0,00003217;
May 2021;51;0,00001910;
June 2021;36;0,00001324;
July 2021;21;0,00000788;
August 2021;25;0,00000875;
September 2021;41;0,00001338;
October 2021;43;0,00001402;
November 2021;69;0,00002216;
December 2021;91;0,00002951;
January 2022;50;0,00001633;
February 2022;57;0,00001726;
March 2022;36;0,00001138;
April 2022;43;0,00001323;
May 2022;53;0,00001844;
June 2022;28;0,00000986;
July 2022;20;0,00000690;
August 2022;26;0,00000805;
September 2022;41;0,00001184;
October 2022;23;0,00000664;
November 2022;21;0,00000611;
December 2022;32;0,00000937;
January 2023;20;0,00000633;
February 2023;7;0,00000203;
March 2023;21;0,00000666;
April 2023;7;0,00000226;
May 2023;6;0,00000219;
June 2023;4;0,00000145;
July 2023;8;0,00000301;
August 2023;8;0,00000283;
September 2023;4;0,00000125;
October 2023;6;0,00000195;
November 2023;5;0,00000161;
December 2023;9;0,00000282;
January 2024;6;0,00000202;
February 2024;17;0,00000570;
March 2024;9;0,00000321;
April 2024;1;0,00000036;
May 2024;9;0,00000389;
June 2024;17;0,00000734;
July 2024;29;0,00001240;
August 2024;16;0,00000635;
September 2024;31;0,00001068;
October 2024;11;0,00000371;
November 2024;4;0,00000131;
